Using Fixed-Point.
t=0.100, dt=0.1, MaxDpr=9.89922, MaxDsw=0.00311111, Qo=346.53, Qw=0.00, Gauss=2
t=0.220, dt=0.12, MaxDpr=0.00121521, MaxDsw=0.00373331, Qo=346.53, Qw=0.00, Gauss=4
t=0.364, dt=0.144, MaxDpr=0.00149558, MaxDsw=0.00447991, Qo=346.53, Qw=0.00, Gauss=6
t=0.464, dt=0.1, MaxDpr=0.00106323, MaxDsw=0.00311101, Qo=346.53, Qw=0.00, Gauss=10
t=0.584, dt=0.12, MaxDpr=0.00130332, MaxDsw=0.00373314, Qo=346.53, Qw=0.00, Gauss=12
t=0.728, dt=0.144, MaxDpr=0.00160465, MaxDsw=0.00447964, Qo=346.53, Qw=0.00, Gauss=14
t=0.828, dt=0.1, MaxDpr=0.00114117, MaxDsw=0.00311078, Qo=346.53, Qw=0.00, Gauss=18
t=0.948, dt=0.12, MaxDpr=0.00139935, MaxDsw=0.0037328, Qo=346.53, Qw=0.00, Gauss=20
t=1.092, dt=0.144, MaxDpr=0.00172356, MaxDsw=0.00447914, Qo=346.53, Qw=0.00, Gauss=22
t=1.192, dt=0.1, MaxDpr=0.00122618, MaxDsw=0.00311039, Qo=346.53, Qw=0.00, Gauss=26
t=1.312, dt=0.12, MaxDpr=0.00150411, MaxDsw=0.00373226, Qo=346.53, Qw=0.00, Gauss=28
t=1.456, dt=0.144, MaxDpr=0.00185334, MaxDsw=0.00447838, Qo=346.53, Qw=0.00, Gauss=30
t=1.556, dt=0.1, MaxDpr=0.00131897, MaxDsw=0.00310981, Qo=346.53, Qw=0.00, Gauss=34
t=1.676, dt=0.12, MaxDpr=0.00161852, MaxDsw=0.00373148, Qo=346.53, Qw=0.00, Gauss=36
t=1.820, dt=0.144, MaxDpr=0.00199514, MaxDsw=0.00447732, Qo=346.53, Qw=0.00, Gauss=38
t=1.920, dt=0.1, MaxDpr=0.00142039, MaxDsw=0.00310901, Qo=346.53, Qw=0.00, Gauss=42
t=2.040, dt=0.12, MaxDpr=0.0017436, MaxDsw=0.00373043, Qo=346.53, Qw=0.00, Gauss=44
t=2.184, dt=0.144, MaxDpr=0.0021502, MaxDsw=0.00447592, Qo=346.53, Qw=0.00, Gauss=46
t=2.284, dt=0.1, MaxDpr=0.00153133, MaxDsw=0.00310796, Qo=346.53, Qw=0.00, Gauss=50
t=2.404, dt=0.12, MaxDpr=0.00188048, MaxDsw=0.00372906, Qo=346.53, Qw=0.00, Gauss=52
t=2.548, dt=0.144, MaxDpr=0.00231996, MaxDsw=0.00447411, Qo=346.53, Qw=0.00, Gauss=54
t=2.648, dt=0.1, MaxDpr=0.00165281, MaxDsw=0.00310662, Qo=346.53, Qw=0.00, Gauss=58
t=2.768, dt=0.12, MaxDpr=0.00203042, MaxDsw=0.00372733, Qo=346.53, Qw=0.00, Gauss=60
t=2.912, dt=0.144, MaxDpr=0.00250598, MaxDsw=0.00447183, Qo=346.53, Qw=0.00, Gauss=62
t=3.012, dt=0.1, MaxDpr=0.00178594, MaxDsw=0.00310494, Qo=346.53, Qw=0.00, Gauss=66
t=3.132, dt=0.12, MaxDpr=0.00219481, MaxDsw=0.00372517, Qo=346.53, Qw=0.00, Gauss=68
t=3.276, dt=0.144, MaxDpr=0.00270998, MaxDsw=0.00446902, Qo=346.53, Qw=0.00, Gauss=70
t=3.376, dt=0.1, MaxDpr=0.00193198, MaxDsw=0.00310288, Qo=346.53, Qw=0.00, Gauss=75
t=3.496, dt=0.12, MaxDpr=0.00237519, MaxDsw=0.00372253, Qo=346.53, Qw=0.00, Gauss=77
t=3.640, dt=0.144, MaxDpr=0.00293388, MaxDsw=0.00446559, Qo=346.53, Qw=0.00, Gauss=79
t=3.740, dt=0.1, MaxDpr=0.00209228, MaxDsw=0.00310037, Qo=346.53, Qw=0.00, Gauss=84
t=3.860, dt=0.12, MaxDpr=0.00257325, MaxDsw=0.00371932, Qo=346.53, Qw=0.00, Gauss=86
t=4.004, dt=0.144, MaxDpr=0.0031798, MaxDsw=0.00446145, Qo=346.53, Qw=0.00, Gauss=88
t=4.104, dt=0.1, MaxDpr=0.00226836, MaxDsw=0.00309734, Qo=346.53, Qw=0.00, Gauss=93
t=4.224, dt=0.12, MaxDpr=0.00279087, MaxDsw=0.00371546, Qo=346.53, Qw=0.00, Gauss=95
t=4.368, dt=0.144, MaxDpr=0.00344859, MaxDsw=0.00445648, Qo=346.53, Qw=0.00, Gauss=98
t=4.468, dt=0.1, MaxDpr=0.00246331, MaxDsw=0.00309372, Qo=346.53, Qw=0.00, Gauss=103
t=4.588, dt=0.12, MaxDpr=0.00303009, MaxDsw=0.00371085, Qo=346.53, Qw=0.00, Gauss=105
t=4.732, dt=0.144, MaxDpr=0.00374525, MaxDsw=0.00445056, Qo=346.53, Qw=0.00, Gauss=108
t=4.832, dt=0.1, MaxDpr=0.00267646, MaxDsw=0.00308941, Qo=346.53, Qw=0.00, Gauss=113
t=4.952, dt=0.12, MaxDpr=0.00329313, MaxDsw=0.00370539, Qo=346.53, Qw=0.00, Gauss=115
t=5.096, dt=0.144, MaxDpr=0.00407139, MaxDsw=0.00444355, Qo=346.53, Qw=0.00, Gauss=118
t=5.196, dt=0.1, MaxDpr=0.00291088, MaxDsw=0.00308432, Qo=346.53, Qw=0.00, Gauss=123
t=5.316, dt=0.12, MaxDpr=0.00358036, MaxDsw=0.00369893, Qo=346.53, Qw=0.00, Gauss=126
t=5.460, dt=0.144, MaxDpr=0.00443195, MaxDsw=0.00443529, Qo=346.53, Qw=0.00, Gauss=129
t=5.560, dt=0.1, MaxDpr=0.00316868, MaxDsw=0.00307831, Qo=346.53, Qw=0.00, Gauss=134
t=5.680, dt=0.12, MaxDpr=0.00389781, MaxDsw=0.00369134, Qo=346.53, Qw=0.00, Gauss=137
t=5.824, dt=0.144, MaxDpr=0.00482656, MaxDsw=0.00442558, Qo=346.53, Qw=0.00, Gauss=140
t=5.924, dt=0.1, MaxDpr=0.00344994, MaxDsw=0.00307127, Qo=346.53, Qw=0.00, Gauss=146
t=6.044, dt=0.12, MaxDpr=0.00424873, MaxDsw=0.00368243, Qo=346.53, Qw=0.00, Gauss=149
t=6.188, dt=0.144, MaxDpr=0.00526005, MaxDsw=0.00441421, Qo=346.53, Qw=0.00, Gauss=152
t=6.288, dt=0.1, MaxDpr=0.00376067, MaxDsw=0.00306303, Qo=346.53, Qw=0.00, Gauss=158
t=6.408, dt=0.12, MaxDpr=0.00463217, MaxDsw=0.00367203, Qo=346.53, Qw=0.00, Gauss=161
t=6.552, dt=0.144, MaxDpr=0.00573577, MaxDsw=0.00440095, Qo=346.53, Qw=0.00, Gauss=164
t=6.652, dt=0.1, MaxDpr=0.00410155, MaxDsw=0.00305343, Qo=346.53, Qw=0.00, Gauss=170
t=6.772, dt=0.12, MaxDpr=0.0050526, MaxDsw=0.00365991, Qo=346.53, Qw=0.00, Gauss=173
t=6.916, dt=0.144, MaxDpr=0.00625705, MaxDsw=0.00438551, Qo=346.53, Qw=0.00, Gauss=176
t=7.016, dt=0.1, MaxDpr=0.00447488, MaxDsw=0.00304225, Qo=346.53, Qw=0.00, Gauss=182
t=7.136, dt=0.12, MaxDpr=0.00551276, MaxDsw=0.00364582, Qo=346.53, Qw=0.00, Gauss=185
t=7.280, dt=0.144, MaxDpr=0.00682709, MaxDsw=0.00436758, Qo=346.53, Qw=0.00, Gauss=188
t=7.380, dt=0.1, MaxDpr=0.00488282, MaxDsw=0.00302929, Qo=346.53, Qw=0.00, Gauss=194
t=7.500, dt=0.12, MaxDpr=0.00601515, MaxDsw=0.0036295, Qo=346.53, Qw=0.00, Gauss=197
t=7.644, dt=0.144, MaxDpr=0.00744874, MaxDsw=0.00434682, Qo=346.53, Qw=0.00, Gauss=200
t=7.744, dt=0.1, MaxDpr=0.00532726, MaxDsw=0.00301429, Qo=346.53, Qw=0.00, Gauss=206
t=7.864, dt=0.12, MaxDpr=0.00656187, MaxDsw=0.00361062, Qo=346.53, Qw=0.00, Gauss=209
t=8.008, dt=0.144, MaxDpr=0.00812426, MaxDsw=0.00432284, Qo=346.53, Qw=0.00, Gauss=212
t=8.108, dt=0.1, MaxDpr=0.00580962, MaxDsw=0.00299697, Qo=346.53, Qw=0.00, Gauss=218
t=8.228, dt=0.12, MaxDpr=0.0071544, MaxDsw=0.00358884, Qo=346.53, Qw=0.00, Gauss=221
t=8.372, dt=0.144, MaxDpr=0.00885503, MaxDsw=0.00429522, Qo=346.53, Qw=0.00, Gauss=224
t=8.472, dt=0.1, MaxDpr=0.00633059, MaxDsw=0.00297704, Qo=346.53, Qw=0.00, Gauss=230
t=8.592, dt=0.12, MaxDpr=0.00779321, MaxDsw=0.0035638, Qo=346.53, Qw=0.00, Gauss=233
t=8.736, dt=0.144, MaxDpr=0.00964109, MaxDsw=0.00426349, Qo=346.53, Qw=0.00, Gauss=236
t=8.836, dt=0.1, MaxDpr=0.00688985, MaxDsw=0.00295415, Qo=346.53, Qw=0.00, Gauss=242
t=8.956, dt=0.12, MaxDpr=0.00847746, MaxDsw=0.00353509, Qo=346.53, Qw=0.00, Gauss=245
t=9.100, dt=0.144, MaxDpr=0.0104807, MaxDsw=0.00422714, Qo=346.53, Qw=0.00, Gauss=248
t=9.200, dt=0.1, MaxDpr=0.0074857, MaxDsw=0.00292797, Qo=346.53, Qw=0.00, Gauss=254
t=9.320, dt=0.12, MaxDpr=0.0092045, MaxDsw=0.00350226, Qo=346.53, Qw=0.00, Gauss=257
t=9.464, dt=0.144, MaxDpr=0.0113696, MaxDsw=0.00418566, Qo=346.53, Qw=0.00, Gauss=260
t=9.637, dt=0.1728, MaxDpr=0.014118, MaxDsw=0.00499683, Qo=346.53, Qw=0.00, Gauss=263
t=9.740, dt=0.10368, MaxDpr=0.00873609, MaxDsw=0.00298829, Qo=346.53, Qw=0.00, Gauss=269
t=9.865, dt=0.124416, MaxDpr=0.0107365, MaxDsw=0.00357125, Qo=346.53, Qw=0.00, Gauss=272
t=10.014, dt=0.149299, MaxDpr=0.013252, MaxDsw=0.00426334, Qo=346.53, Qw=0.00, Gauss=275
t=10.114, dt=0.1, MaxDpr=0.00911447, MaxDsw=0.0028452, Qo=346.53, Qw=0.00, Gauss=281
t=10.234, dt=0.12, MaxDpr=0.0111787, MaxDsw=0.00339875, Qo=346.53, Qw=0.00, Gauss=284
t=10.378, dt=0.144, MaxDpr=0.0137631, MaxDsw=0.00405524, Qo=346.53, Qw=0.00, Gauss=287
t=10.551, dt=0.1728, MaxDpr=0.0170174, MaxDsw=0.00483108, Qo=346.53, Qw=0.00, Gauss=290
t=10.655, dt=0.10368, MaxDpr=0.0104949, MaxDsw=0.00288539, Qo=346.53, Qw=0.00, Gauss=296
t=10.779, dt=0.124416, MaxDpr=0.0128522, MaxDsw=0.00344272, Qo=346.53, Qw=0.00, Gauss=299
t=10.928, dt=0.149299, MaxDpr=0.0157923, MaxDsw=0.00410163, Qo=346.53, Qw=0.00, Gauss=302
t=11.108, dt=0.179159, MaxDpr=0.0194738, MaxDsw=0.00487723, Qo=346.53, Qw=0.00, Gauss=305
t=11.215, dt=0.107495, MaxDpr=0.0119856, MaxDsw=0.00290953, Qo=346.53, Qw=0.00, Gauss=311
t=11.344, dt=0.128995, MaxDpr=0.0146425, MaxDsw=0.00346644, Qo=346.53, Qw=0.00, Gauss=314
t=11.499, dt=0.154793, MaxDpr=0.0179366, MaxDsw=0.00412235, Qo=346.53, Qw=0.00, Gauss=317
t=11.685, dt=0.185752, MaxDpr=0.0220278, MaxDsw=0.00489062, Qo=346.53, Qw=0.00, Gauss=320
t=11.796, dt=0.111451, MaxDpr=0.013515, MaxDsw=0.00291332, Qo=346.53, Qw=0.00, Gauss=326
t=11.930, dt=0.133742, MaxDpr=0.0164531, MaxDsw=0.00346477, Qo=346.53, Qw=0.00, Gauss=329
t=12.090, dt=0.16049, MaxDpr=0.0200656, MaxDsw=0.00411126, Qo=346.53, Qw=0.00, Gauss=332
t=12.283, dt=0.192588, MaxDpr=0.0245017, MaxDsw=0.00486401, Qo=346.53, Qw=0.00, Gauss=335
t=12.398, dt=0.115553, MaxDpr=0.0149664, MaxDsw=0.00289248, Qo=346.53, Qw=0.00, Gauss=341
t=12.537, dt=0.138663, MaxDpr=0.018133, MaxDsw=0.00343271, Qo=346.53, Qw=0.00, Gauss=344
t=12.703, dt=0.166396, MaxDpr=0.0219838, MaxDsw=0.00406262, Qo=346.53, Qw=0.00, Gauss=347
t=12.903, dt=0.199675, MaxDpr=0.0266423, MaxDsw=0.00479103, Qo=346.53, Qw=0.00, Gauss=350
t=13.023, dt=0.119805, MaxDpr=0.0161792, MaxDsw=0.00284341, Qo=346.53, Qw=0.00, Gauss=356
t=13.167, dt=0.143766, MaxDpr=0.0194825, MaxDsw=0.00336631, Qo=346.53, Qw=0.00, Gauss=359
t=13.339, dt=0.172519, MaxDpr=0.0234443, MaxDsw=0.00397227, Qo=346.53, Qw=0.00, Gauss=362
t=13.546, dt=0.207023, MaxDpr=0.0281483, MaxDsw=0.00466768, Qo=346.53, Qw=0.00, Gauss=365
t=13.670, dt=0.124214, MaxDpr=0.0169709, MaxDsw=0.0027641, Qo=346.53, Qw=0.00, Gauss=371
t=13.820, dt=0.149057, MaxDpr=0.0202849, MaxDsw=0.00326374, Qo=346.53, Qw=0.00, Gauss=374
t=13.998, dt=0.178868, MaxDpr=0.0241949, MaxDsw=0.00383896, Qo=346.53, Qw=0.00, Gauss=377
t=14.213, dt=0.214641, MaxDpr=0.0287352, MaxDsw=0.00449381, Qo=346.53, Qw=0.00, Gauss=380
t=14.342, dt=0.128785, MaxDpr=0.0171806, MaxDsw=0.00265498, Qo=346.53, Qw=0.00, Gauss=387
t=14.496, dt=0.154542, MaxDpr=0.0203632, MaxDsw=0.00312629, Qo=346.53, Qw=0.00, Gauss=390
t=14.682, dt=0.18545, MaxDpr=0.0240497, MaxDsw=0.00366533, Qo=346.53, Qw=0.00, Gauss=393
t=14.904, dt=0.22254, MaxDpr=0.0282245, MaxDsw=0.00427418, Qo=346.53, Qw=0.00, Gauss=396
t=15.171, dt=0.267048, MaxDpr=0.0328774, MaxDsw=0.00495059, Qo=346.53, Qw=0.00, Gauss=400
t=15.332, dt=0.160229, MaxDpr=0.0192909, MaxDsw=0.00290601, Qo=346.53, Qw=0.00, Gauss=407
t=15.524, dt=0.192275, MaxDpr=0.0225186, MaxDsw=0.00339527, Qo=346.53, Qw=0.00, Gauss=410
t=15.755, dt=0.23073, MaxDpr=0.0260834, MaxDsw=0.00394347, Qo=346.53, Qw=0.00, Gauss=414
t=16.032, dt=0.276876, MaxDpr=0.029829, MaxDsw=0.00454739, Qo=346.53, Qw=0.00, Gauss=418
t=16.198, dt=0.166125, MaxDpr=0.0172835, MaxDsw=0.00266255, Qo=346.53, Qw=0.00, Gauss=425
t=16.397, dt=0.199351, MaxDpr=0.0199474, MaxDsw=0.00310189, Qo=346.53, Qw=0.00, Gauss=428
t=16.636, dt=0.239221, MaxDpr=0.0228051, MaxDsw=0.0035912, Qo=346.53, Qw=0.00, Gauss=432
t=16.923, dt=0.287065, MaxDpr=0.0256827, MaxDsw=0.00412693, Qo=346.53, Qw=0.00, Gauss=436
t=17.268, dt=0.344478, MaxDpr=0.0284714, MaxDsw=0.00470057, Qo=346.53, Qw=0.00, Gauss=440
t=17.474, dt=0.206687, MaxDpr=0.0160776, MaxDsw=0.00273222, Qo=346.53, Qw=0.00, Gauss=447
t=17.722, dt=0.248024, MaxDpr=0.0181624, MaxDsw=0.00315598, Qo=346.53, Qw=0.00, Gauss=451
t=18.020, dt=0.297629, MaxDpr=0.0201566, MaxDsw=0.00361845, Qo=346.53, Qw=0.00, Gauss=455
t=18.377, dt=0.357154, MaxDpr=0.021992, MaxDsw=0.00411252, Qo=346.53, Qw=0.00, Gauss=459
t=18.806, dt=0.428585, MaxDpr=0.0234729, MaxDsw=0.00462688, Qo=346.53, Qw=0.00, Gauss=463
t=19.063, dt=0.257151, MaxDpr=0.0128502, MaxDsw=0.0026705, Qo=346.53, Qw=0.00, Gauss=470
t=19.372, dt=0.308581, MaxDpr=0.0141538, MaxDsw=0.00326713, Qo=346.53, Qw=0.00, Gauss=474
t=19.742, dt=0.370298, MaxDpr=0.0152276, MaxDsw=0.00401726, Qo=346.53, Qw=0.00, Gauss=478
t=20.186, dt=0.444357, MaxDpr=0.0160428, MaxDsw=0.00494907, Qo=346.53, Qw=0.00, Gauss=482
t=20.453, dt=0.266614, MaxDpr=0.00868841, MaxDsw=0.00301308, Qo=346.53, Qw=0.00, Gauss=489
t=20.773, dt=0.319937, MaxDpr=0.00949973, MaxDsw=0.00367505, Qo=346.53, Qw=0.00, Gauss=493
t=21.157, dt=0.383925, MaxDpr=0.0101493, MaxDsw=0.00448944, Qo=346.53, Qw=0.00, Gauss=497
t=21.387, dt=0.230355, MaxDpr=0.00556323, MaxDsw=0.00272083, Qo=346.53, Qw=0.00, Gauss=504
t=21.663, dt=0.276426, MaxDpr=0.0061466, MaxDsw=0.00330212, Qo=346.53, Qw=0.00, Gauss=507
t=21.995, dt=0.331711, MaxDpr=0.00667999, MaxDsw=0.00401272, Qo=346.53, Qw=0.00, Gauss=510
t=22.393, dt=0.398053, MaxDpr=0.00714412, MaxDsw=0.00488246, Qo=346.53, Qw=0.00, Gauss=514
t=22.632, dt=0.238832, MaxDpr=0.00390062, MaxDsw=0.00295236, Qo=346.53, Qw=0.00, Gauss=521
t=22.919, dt=0.286598, MaxDpr=0.00431005, MaxDsw=0.00357405, Qo=346.53, Qw=0.00, Gauss=524
t=23.263, dt=0.343918, MaxDpr=0.0046912, MaxDsw=0.00433097, Qo=346.53, Qw=0.00, Gauss=527
t=23.469, dt=0.206351, MaxDpr=0.00261114, MaxDsw=0.00261312, Qo=346.53, Qw=0.00, Gauss=534
t=23.717, dt=0.247621, MaxDpr=0.00292181, MaxDsw=0.00315564, Qo=346.53, Qw=0.00, Gauss=537
t=24.014, dt=0.297145, MaxDpr=0.00323888, MaxDsw=0.00381385, Qo=346.53, Qw=0.00, Gauss=540
t=24.370, dt=0.356574, MaxDpr=0.00354751, MaxDsw=0.00461305, Qo=346.53, Qw=0.00, Gauss=543
t=24.584, dt=0.213944, MaxDpr=0.00198237, MaxDsw=0.00278038, Qo=346.53, Qw=0.00, Gauss=549
t=24.841, dt=0.256733, MaxDpr=0.00223525, MaxDsw=0.0033536, Qo=346.53, Qw=0.00, Gauss=552
t=25.149, dt=0.30808, MaxDpr=0.00250262, MaxDsw=0.00404758, Qo=346.53, Qw=0.00, Gauss=555
t=25.519, dt=0.369696, MaxDpr=0.00278063, MaxDsw=0.00488828, Qo=346.53, Qw=0.00, Gauss=558
t=25.741, dt=0.221818, MaxDpr=0.00157079, MaxDsw=0.00294367, Qo=346.53, Qw=0.00, Gauss=564
t=26.007, dt=0.266181, MaxDpr=0.00179697, MaxDsw=0.00354698, Qo=346.53, Qw=0.00, Gauss=567
t=26.326, dt=0.319417, MaxDpr=0.00204906, MaxDsw=0.00427607, Qo=346.53, Qw=0.00, Gauss=570
t=26.518, dt=0.19165, MaxDpr=0.00118065, MaxDsw=0.00257242, Qo=346.53, Qw=0.00, Gauss=576
t=26.748, dt=0.229981, MaxDpr=0.00137596, MaxDsw=0.0030962, Qo=346.53, Qw=0.00, Gauss=579
t=27.024, dt=0.275977, MaxDpr=0.00167678, MaxDsw=0.00372807, Qo=346.53, Qw=0.00, Gauss=582
t=27.355, dt=0.331172, MaxDpr=0.00208295, MaxDsw=0.00449063, Qo=346.53, Qw=0.00, Gauss=585
t=27.554, dt=0.198703, MaxDpr=0.0012864, MaxDsw=0.00270018, Qo=346.53, Qw=0.00, Gauss=591
t=27.792, dt=0.238444, MaxDpr=0.00158306, MaxDsw=0.00324811, Qo=346.53, Qw=0.00, Gauss=594
t=28.078, dt=0.286133, MaxDpr=0.00195746, MaxDsw=0.00390837, Qo=346.53, Qw=0.00, Gauss=597
t=28.422, dt=0.343359, MaxDpr=0.00243502, MaxDsw=0.00470414, Qo=346.53, Qw=0.00, Gauss=600
t=28.628, dt=0.206015, MaxDpr=0.00150605, MaxDsw=0.00282725, Qo=346.53, Qw=0.00, Gauss=606
t=28.875, dt=0.247219, MaxDpr=0.0018552, MaxDsw=0.00339912, Qo=346.53, Qw=0.00, Gauss=609
t=29.171, dt=0.296662, MaxDpr=0.00229681, MaxDsw=0.00408746, Qo=346.53, Qw=0.00, Gauss=612
t=29.527, dt=0.355995, MaxDpr=0.00286145, MaxDsw=0.00491597, Qo=346.53, Qw=0.00, Gauss=615
t=29.741, dt=0.213597, MaxDpr=0.00177251, MaxDsw=0.00295323, Qo=346.53, Qw=0.00, Gauss=621
t=29.997, dt=0.256316, MaxDpr=0.00218574, MaxDsw=0.00354866, Qo=346.53, Qw=0.00, Gauss=624
t=30.305, dt=0.307579, MaxDpr=0.00270953, MaxDsw=0.00426453, Qo=346.53, Qw=0.00, Gauss=627
t=30.489, dt=0.184548, MaxDpr=0.00167158, MaxDsw=0.00256072, Qo=346.53, Qw=0.00, Gauss=633
t=30.711, dt=0.221457, MaxDpr=0.0020537, MaxDsw=0.00307547, Qo=346.53, Qw=0.00, Gauss=636
t=30.977, dt=0.265749, MaxDpr=0.00253479, MaxDsw=0.00369382, Qo=346.53, Qw=0.00, Gauss=639
t=31.296, dt=0.318898, MaxDpr=0.00314624, MaxDsw=0.00443646, Qo=346.53, Qw=0.00, Gauss=642
t=31.487, dt=0.191339, MaxDpr=0.00194343, MaxDsw=0.00266304, Qo=346.53, Qw=0.00, Gauss=648
t=31.717, dt=0.229607, MaxDpr=0.0023898, MaxDsw=0.00319701, Qo=346.53, Qw=0.00, Gauss=651
t=31.992, dt=0.275528, MaxDpr=0.00295272, MaxDsw=0.00383783, Qo=346.53, Qw=0.00, Gauss=654
t=32.323, dt=0.330634, MaxDpr=0.00366946, MaxDsw=0.00460651, Qo=346.53, Qw=0.00, Gauss=657
t=32.521, dt=0.19838, MaxDpr=0.00226939, MaxDsw=0.00276405, Qo=346.53, Qw=0.00, Gauss=663
t=32.759, dt=0.238056, MaxDpr=0.00279292, MaxDsw=0.0033167, Qo=346.53, Qw=0.00, Gauss=666
t=33.045, dt=0.285668, MaxDpr=0.00345412, MaxDsw=0.00397919, Qo=346.53, Qw=0.00, Gauss=669
t=33.388, dt=0.342801, MaxDpr=0.0042973, MaxDsw=0.00477274, Qo=346.53, Qw=0.00, Gauss=672
t=33.593, dt=0.205681, MaxDpr=0.00266064, MaxDsw=0.00286251, Qo=346.53, Qw=0.00, Gauss=678
t=33.840, dt=0.246817, MaxDpr=0.00327673, MaxDsw=0.00343294, Qo=346.53, Qw=0.00, Gauss=681
t=34.136, dt=0.29618, MaxDpr=0.0040557, MaxDsw=0.00411584, Qo=346.53, Qw=0.00, Gauss=684
t=34.492, dt=0.355416, MaxDpr=0.00505013, MaxDsw=0.00493241, Qo=346.53, Qw=0.00, Gauss=687
t=34.705, dt=0.21325, MaxDpr=0.00312963, MaxDsw=0.00295668, Qo=346.53, Qw=0.00, Gauss=693
t=34.961, dt=0.2559, MaxDpr=0.00385622, MaxDsw=0.00354354, Qo=346.53, Qw=0.00, Gauss=696
t=35.268, dt=0.30708, MaxDpr=0.00477542, MaxDsw=0.00424492, Qo=346.53, Qw=0.00, Gauss=699
t=35.452, dt=0.184248, MaxDpr=0.00294564, MaxDsw=0.00254404, Qo=346.53, Qw=0.00, Gauss=705
t=35.673, dt=0.221097, MaxDpr=0.00361502, MaxDsw=0.00304832, Qo=346.53, Qw=0.00, Gauss=708
t=35.939, dt=0.265317, MaxDpr=0.00445546, MaxDsw=0.00365086, Qo=346.53, Qw=0.00, Gauss=711
t=36.257, dt=0.31838, MaxDpr=0.00551906, MaxDsw=0.0043697, Qo=346.53, Qw=0.00, Gauss=714
t=36.448, dt=0.191028, MaxDpr=0.00340571, MaxDsw=0.00261741, Qo=346.53, Qw=0.00, Gauss=720
t=36.677, dt=0.229234, MaxDpr=0.00417987, MaxDsw=0.00313412, Qo=346.53, Qw=0.00, Gauss=723
t=36.952, dt=0.27508, MaxDpr=0.00515153, MaxDsw=0.00375047, Qo=346.53, Qw=0.00, Gauss=726
t=37.282, dt=0.330097, MaxDpr=0.00638024, MaxDsw=0.00448418, Qo=346.53, Qw=0.00, Gauss=729
t=37.480, dt=0.198058, MaxDpr=0.00393731, MaxDsw=0.0026842, Qo=346.53, Qw=0.00, Gauss=735
t=37.718, dt=0.237669, MaxDpr=0.00483075, MaxDsw=0.00321145, Qo=346.53, Qw=0.00, Gauss=738
t=38.003, dt=0.285203, MaxDpr=0.00595076, MaxDsw=0.00383904, Qo=346.53, Qw=0.00, Gauss=741
t=38.346, dt=0.342244, MaxDpr=0.00736432, MaxDsw=0.00458411, Qo=346.53, Qw=0.00, Gauss=744
t=38.551, dt=0.205346, MaxDpr=0.00454252, MaxDsw=0.00274177, Qo=346.53, Qw=0.00, Gauss=750
t=38.797, dt=0.246416, MaxDpr=0.00556862, MaxDsw=0.00327699, Qo=346.53, Qw=0.00, Gauss=753
t=39.093, dt=0.295699, MaxDpr=0.00685186, MaxDsw=0.0039124, Qo=346.53, Qw=0.00, Gauss=756
t=39.448, dt=0.354839, MaxDpr=0.00846578, MaxDsw=0.00466421, Qo=346.53, Qw=0.00, Gauss=759
t=39.661, dt=0.212903, MaxDpr=0.00521603, MaxDsw=0.00278687, Qo=346.53, Qw=0.00, Gauss=765
t=39.916, dt=0.255484, MaxDpr=0.00638456, MaxDsw=0.00332672, Qo=346.53, Qw=0.00, Gauss=768
t=40.223, dt=0.306581, MaxDpr=0.0078402, MaxDsw=0.00396556, Qo=346.53, Qw=0.00, Gauss=771
t=40.591, dt=0.367897, MaxDpr=0.00966084, MaxDsw=0.00471828, Qo=346.53, Qw=0.00, Gauss=774
t=40.811, dt=0.220738, MaxDpr=0.00594047, MaxDsw=0.0028157, Qo=346.53, Qw=0.00, Gauss=780
t=41.076, dt=0.264886, MaxDpr=0.00725393, MaxDsw=0.00335599, Qo=346.53, Qw=0.00, Gauss=783
t=41.394, dt=0.317863, MaxDpr=0.0088806, MaxDsw=0.00399284, Qo=346.53, Qw=0.00, Gauss=786
t=41.776, dt=0.381435, MaxDpr=0.0108988, MaxDsw=0.00473943, Qo=346.53, Qw=0.00, Gauss=789
t=42.005, dt=0.228861, MaxDpr=0.00668123, MaxDsw=0.00282409, Qo=346.53, Qw=0.00, Gauss=795
t=42.279, dt=0.274633, MaxDpr=0.00813042, MaxDsw=0.00335981, Qo=346.53, Qw=0.00, Gauss=798
