Using Fixed-Point.
t=0.100, dt=0.1, MaxDpr=41.3815, MaxDsw=0.00311068, Qo=346.53, Qw=0.00, Gauss=3
t=0.220, dt=0.12, MaxDpr=0.117622, MaxDsw=0.00373077, Qo=346.53, Qw=0.00, Gauss=6
t=0.364, dt=0.144, MaxDpr=0.14048, MaxDsw=0.00447143, Qo=346.53, Qw=0.00, Gauss=9
t=0.464, dt=0.1, MaxDpr=0.0969231, MaxDsw=0.00310132, Qo=346.53, Qw=0.00, Gauss=15
t=0.584, dt=0.12, MaxDpr=0.115332, MaxDsw=0.00371446, Qo=346.53, Qw=0.00, Gauss=18
t=0.728, dt=0.144, MaxDpr=0.136598, MaxDsw=0.00444424, Qo=346.53, Qw=0.00, Gauss=21
t=0.828, dt=0.1, MaxDpr=0.093505, MaxDsw=0.00307865, Qo=346.53, Qw=0.00, Gauss=27
t=0.948, dt=0.12, MaxDpr=0.110401, MaxDsw=0.00368166, Qo=346.53, Qw=0.00, Gauss=30
t=1.092, dt=0.144, MaxDpr=0.129475, MaxDsw=0.00439665, Qo=346.53, Qw=0.00, Gauss=33
t=1.192, dt=0.1, MaxDpr=0.087809, MaxDsw=0.00304156, Qo=346.53, Qw=0.00, Gauss=39
t=1.312, dt=0.12, MaxDpr=0.102733, MaxDsw=0.00363128, Qo=346.53, Qw=0.00, Gauss=42
t=1.456, dt=0.144, MaxDpr=0.119104, MaxDsw=0.00432771, Qo=346.53, Qw=0.00, Gauss=45
t=1.556, dt=0.1, MaxDpr=0.0798987, MaxDsw=0.00298958, Qo=346.53, Qw=0.00, Gauss=51
t=1.676, dt=0.12, MaxDpr=0.0924873, MaxDsw=0.00356305, Qo=346.53, Qw=0.00, Gauss=54
t=1.820, dt=0.144, MaxDpr=0.105796, MaxDsw=0.00423752, Qo=346.53, Qw=0.00, Gauss=57
t=1.920, dt=0.1, MaxDpr=0.0700637, MaxDsw=0.00292302, Qo=346.53, Qw=0.00, Gauss=63
t=2.040, dt=0.12, MaxDpr=0.0800937, MaxDsw=0.00347764, Qo=346.53, Qw=0.00, Gauss=66
t=2.184, dt=0.144, MaxDpr=0.0901779, MaxDsw=0.00412736, Qo=346.53, Qw=0.00, Gauss=69
t=2.357, dt=0.1728, MaxDpr=0.0993888, MaxDsw=0.00488261, Qo=346.53, Qw=0.00, Gauss=72
t=2.460, dt=0.10368, MaxDpr=0.055037, MaxDsw=0.00290292, Qo=346.53, Qw=0.00, Gauss=78
t=2.585, dt=0.124416, MaxDpr=0.0612713, MaxDsw=0.00344377, Qo=346.53, Qw=0.00, Gauss=81
t=2.734, dt=0.149299, MaxDpr=0.0666445, MaxDsw=0.00407315, Qo=346.53, Qw=0.00, Gauss=84
t=2.913, dt=0.179159, MaxDpr=0.0701144, MaxDsw=0.00479899, Qo=346.53, Qw=0.00, Gauss=87
t=3.021, dt=0.107495, MaxDpr=0.0370208, MaxDsw=0.00284634, Qo=346.53, Qw=0.00, Gauss=94
t=3.150, dt=0.128995, MaxDpr=0.0394267, MaxDsw=0.00336712, Qo=346.53, Qw=0.00, Gauss=97
t=3.305, dt=0.154793, MaxDpr=0.0403117, MaxDsw=0.00396939, Qo=346.53, Qw=0.00, Gauss=100
t=3.490, dt=0.185752, MaxDpr=0.0386902, MaxDsw=0.00465907, Qo=346.53, Qw=0.00, Gauss=103
t=3.602, dt=0.111451, MaxDpr=0.0182884, MaxDsw=0.00275726, Qo=346.53, Qw=0.00, Gauss=110
t=3.736, dt=0.133742, MaxDpr=0.0173446, MaxDsw=0.00325345, Qo=346.53, Qw=0.00, Gauss=113
t=3.896, dt=0.16049, MaxDpr=0.0145343, MaxDsw=0.00382431, Qo=346.53, Qw=0.00, Gauss=116
t=4.089, dt=0.192588, MaxDpr=0.012453, MaxDsw=0.00447424, Qo=346.53, Qw=0.00, Gauss=119
t=4.204, dt=0.115553, MaxDpr=0.00778046, MaxDsw=0.00264298, Qo=346.53, Qw=0.00, Gauss=126
t=4.343, dt=0.138663, MaxDpr=0.00984477, MaxDsw=0.0031121, Qo=346.53, Qw=0.00, Gauss=129
t=4.509, dt=0.166396, MaxDpr=0.0124985, MaxDsw=0.00364967, Qo=346.53, Qw=0.00, Gauss=132
t=4.709, dt=0.199675, MaxDpr=0.0159362, MaxDsw=0.00425903, Qo=346.53, Qw=0.00, Gauss=136
t=4.949, dt=0.23961, MaxDpr=0.026904, MaxDsw=0.00494096, Qo=346.53, Qw=0.00, Gauss=140
t=5.092, dt=0.143766, MaxDpr=0.0202213, MaxDsw=0.00290422, Qo=346.53, Qw=0.00, Gauss=147
t=5.265, dt=0.172519, MaxDpr=0.027352, MaxDsw=0.00339987, Qo=346.53, Qw=0.00, Gauss=150
t=5.472, dt=0.207023, MaxDpr=0.0366457, MaxDsw=0.00396027, Qo=346.53, Qw=0.00, Gauss=154
t=5.720, dt=0.248428, MaxDpr=0.0482542, MaxDsw=0.00458608, Qo=346.53, Qw=0.00, Gauss=158
t=5.869, dt=0.149057, MaxDpr=0.0313618, MaxDsw=0.00269318, Qo=346.53, Qw=0.00, Gauss=165
t=6.048, dt=0.178868, MaxDpr=0.0390418, MaxDsw=0.00314992, Qo=346.53, Qw=0.00, Gauss=168
t=6.263, dt=0.214641, MaxDpr=0.0484391, MaxDsw=0.00366592, Qo=346.53, Qw=0.00, Gauss=172
t=6.520, dt=0.25757, MaxDpr=0.0594631, MaxDsw=0.00424204, Qo=346.53, Qw=0.00, Gauss=176
t=6.830, dt=0.309084, MaxDpr=0.0723085, MaxDsw=0.00487612, Qo=346.53, Qw=0.00, Gauss=180
t=7.015, dt=0.18545, MaxDpr=0.0443668, MaxDsw=0.00285137, Qo=346.53, Qw=0.00, Gauss=187
t=7.238, dt=0.22254, MaxDpr=0.0529676, MaxDsw=0.00331887, Qo=346.53, Qw=0.00, Gauss=190
t=7.505, dt=0.267048, MaxDpr=0.0628845, MaxDsw=0.00384162, Qo=346.53, Qw=0.00, Gauss=194
t=7.825, dt=0.320458, MaxDpr=0.0736271, MaxDsw=0.00441879, Qo=346.53, Qw=0.00, Gauss=198
t=8.017, dt=0.192275, MaxDpr=0.0439961, MaxDsw=0.0025853, Qo=346.53, Qw=0.00, Gauss=205
t=8.248, dt=0.23073, MaxDpr=0.0515997, MaxDsw=0.00301137, Qo=346.53, Qw=0.00, Gauss=208
t=8.525, dt=0.276876, MaxDpr=0.0601727, MaxDsw=0.00348914, Qo=346.53, Qw=0.00, Gauss=212
t=8.857, dt=0.332251, MaxDpr=0.0692649, MaxDsw=0.00401863, Qo=346.53, Qw=0.00, Gauss=216
t=9.256, dt=0.398701, MaxDpr=0.0790536, MaxDsw=0.00459718, Qo=346.53, Qw=0.00, Gauss=220
t=9.495, dt=0.239221, MaxDpr=0.0464123, MaxDsw=0.0026814, Qo=346.53, Qw=0.00, Gauss=227
t=9.782, dt=0.287065, MaxDpr=0.0538278, MaxDsw=0.00311242, Qo=346.53, Qw=0.00, Gauss=231
t=10.127, dt=0.344478, MaxDpr=0.0616801, MaxDsw=0.00359258, Qo=346.53, Qw=0.00, Gauss=235
t=10.540, dt=0.413373, MaxDpr=0.0703213, MaxDsw=0.00412061, Qo=346.53, Qw=0.00, Gauss=239
t=11.036, dt=0.496048, MaxDpr=0.0797299, MaxDsw=0.00486684, Qo=346.53, Qw=0.00, Gauss=243
t=11.334, dt=0.297629, MaxDpr=0.0468692, MaxDsw=0.0029303, Qo=346.53, Qw=0.00, Gauss=250
t=11.691, dt=0.357154, MaxDpr=0.0545874, MaxDsw=0.00352473, Qo=346.53, Qw=0.00, Gauss=254
t=12.119, dt=0.428585, MaxDpr=0.0630805, MaxDsw=0.00423115, Qo=346.53, Qw=0.00, Gauss=258
t=12.377, dt=0.257151, MaxDpr=0.0375731, MaxDsw=0.00253637, Qo=346.53, Qw=0.00, Gauss=265
t=12.685, dt=0.308581, MaxDpr=0.0442435, MaxDsw=0.00303685, Qo=346.53, Qw=0.00, Gauss=268
t=13.055, dt=0.370298, MaxDpr=0.0520389, MaxDsw=0.00362881, Qo=346.53, Qw=0.00, Gauss=271
t=13.500, dt=0.444357, MaxDpr=0.0614625, MaxDsw=0.00432364, Qo=346.53, Qw=0.00, Gauss=275
t=13.766, dt=0.266614, MaxDpr=0.0369868, MaxDsw=0.00258058, Qo=346.53, Qw=0.00, Gauss=282
t=14.086, dt=0.319937, MaxDpr=0.0440306, MaxDsw=0.0030743, Qo=346.53, Qw=0.00, Gauss=285
t=14.470, dt=0.383925, MaxDpr=0.0524148, MaxDsw=0.00365251, Qo=346.53, Qw=0.00, Gauss=288
t=14.931, dt=0.46071, MaxDpr=0.0626218, MaxDsw=0.00432362, Qo=346.53, Qw=0.00, Gauss=292
t=15.207, dt=0.276426, MaxDpr=0.0379605, MaxDsw=0.00257091, Qo=346.53, Qw=0.00, Gauss=299
t=15.539, dt=0.331711, MaxDpr=0.0454385, MaxDsw=0.00304965, Qo=346.53, Qw=0.00, Gauss=302
t=15.937, dt=0.398053, MaxDpr=0.0543589, MaxDsw=0.0036056, Qo=346.53, Qw=0.00, Gauss=305
t=16.415, dt=0.477664, MaxDpr=0.0651401, MaxDsw=0.00424486, Qo=346.53, Qw=0.00, Gauss=309
t=16.988, dt=0.573197, MaxDpr=0.0777456, MaxDsw=0.00497035, Qo=346.53, Qw=0.00, Gauss=313
t=17.332, dt=0.343918, MaxDpr=0.0472285, MaxDsw=0.00293623, Qo=346.53, Qw=0.00, Gauss=320
t=17.745, dt=0.412702, MaxDpr=0.0564065, MaxDsw=0.00345618, Qo=346.53, Qw=0.00, Gauss=323
