Iteration	Normal	Inv
0	10	20
1	8.42105	8.42105
2	5.88994	7.35954
3	4.40097	5.04065
4	3.16814	3.77613
5	2.28122	2.69717
6	1.61351	1.93213
7	1.12551	1.35597
8	0.77087	0.938142
9	0.518384	0.636725
10	0.342198	0.424314
11	0.222134	0.277732
12	0.142165	0.178979
13	0.0899853	0.113885
14	0.0565003	0.0717777
15	0.0352783	0.0449334
16	0.0219457	0.0279997
17	0.013619	0.0173951
18	0.00843862	0.010786
19	0.0052237	0.00667969
20	0.00323163	0.00413351
21	0.00199849	0.00255666
22	0.0012356	0.00158087
