ni, nj, var, dtJac, IterJac, ConvJac, MaxRJac, NormRJac, MaxTrueJac, NormTrueJac, NormDeltaJac, MaxDeltaJac, MaxDeltaOddJac, MaxDeltaEvenJac, GS, dtGS, IterGS, ConvGS, MaxRGS, NormRGS, MaxTrueGS, NormTrueGS, NormDeltaGS, MaxDeltaGS, MaxDeltaOddGS, MaxDeltaEvenGS, SRS08, dtSRS08, IterSRS08, ConvSRS08, MaxRSRS08, NormRSRS08, MaxTrueSRS08, NormTrueSRS08, NormDeltaSRS08, MaxDeltaSRS08, MaxDeltaOddSRS08, MaxDeltaEvenSRS08, SRS12, dtSRS12, IterSRS12, ConvSRS12, MaxRSRS12, NormRSRS12, MaxTrueSRS12, NormTrueSRS12, NormDeltaSRS12, MaxDeltaSRS12, MaxDeltaOddSRS12, MaxDeltaEvenSRS12
45, 1, 90, 258, 2000, 0.000282856, 4.45302, 20.9454, 5.45697e-12, 6.415e-12, 8779.58, 1839.16, 1839.16, 1.22809e-05, GS, 285, 2000, 0.000120736, 1.29193, 5.98338, 5.45697e-12, 6.415e-12, 2533.02, 535.412, 535.412, 7.82192e-06, SRS0.8, 269, 2000, 0.000211719, 2.9454, 13.7212, 5.45697e-12, 6.415e-12, 5797.68, 1221.83, 1221.83, 1.46267e-05, SRS1.2, 282, 2000, 4.87726e-05, 0.446383, 1.7338, 5.45697e-12, 6.415e-12, 734.122, 155.865, 155.865, 2.89163e-06
50, 1, 100, 336, 2000, 0.000335959, 5.08921, 25.2245, 7.27596e-12, 1.18605e-11, 13049.4, 2595.14, 2595.14, 2.51216e-05, GS, 180, 2000, 0.000169585, 1.87298, 9.15616, 7.27596e-12, 1.18605e-11, 4788.38, 960.436, 960.436, 2.13278e-05, SRS0.8, 162, 2000, 0.000264362, 3.64304, 17.9016, 7.27596e-12, 1.18605e-11, 9340.03, 1868.08, 1868.08, 3.37112e-05, SRS1.2, 165, 2000, 8.41004e-05, 0.811794, 3.3721, 7.27596e-12, 1.18605e-11, 1765.41, 355.6, 355.6, 1.01051e-05
60, 1, 120, 258, 2000, 0.000429281, 5.80232, 31.3989, 5.00222e-12, 1.45927e-11, 23383.2, 4250.63, 4250.63, 7.40571e-05, GS, 280, 2000, 0.000261944, 2.89907, 15.5639, 5.00222e-12, 1.45927e-11, 11745.6, 2152.21, 2152.21, 9.85116e-05, SRS0.8, 212, 2000, 0.000357581, 4.58941, 24.7234, 5.00222e-12, 1.45927e-11, 18599, 3398.8, 3398.8, 0.000123673, SRS1.2, 211, 2000, 0.000165303, 1.66533, 7.83623, 5.00222e-12, 1.45927e-11, 5927.57, 1090.6, 1090.6, 6.51731e-05
70, 1, 140, 276, 2000, 0.000507559, 6.06849, 35.0339, 5.68434e-12, 1.82636e-11, 35505.5, 5987.45, 5987.45, 0.000158748, GS, 404, 2000, 0.000343835, 3.60366, 20.9635, 5.68434e-12, 1.82636e-11, 21581, 3665.27, 3665.27, 0.000308668, SRS0.8, 317, 2000, 0.000439562, 5.05672, 29.3617, 5.68434e-12, 1.82636e-11, 30122.9, 5103.38, 5103.38, 0.00033328, SRS1.2, 372, 2000, 1.81158, 5.85558e+183, 1e+200, 5.68434e-12, 1.82636e-11, 1e+200, 1.83911e+183, 1.83911e+183, 5.12761e+179
80, 1, 160, 374, 2000, 26.0519, 1.94254e+182, 1e+200, 8.18545e-12, 2.06325e-11, 1e+200, 6.24238e+181, 6.24238e+181, 1.98639e+177, GS, 718, 2000, 269.167, 1.22008e+112, 1.72545e+112, 8.18545e-12, 2.06325e-11, 3.48266e+111, 3.48266e+111, 3.48266e+111, 1.29375e+108, SRS0.8, 772, 2000, 0.000512624, 5.2477, 32.3017, 8.18545e-12, 2.06325e-11, 43348.6, 6886.88, 6886.88, 0.000746722, SRS1.2, 402, 1045, 0, 1e+200, 1e+200, 8.18545e-12, 2.06325e-11, 1e+200, 1e+200, 1e+200, 1e+200
90, 1, 180, 674, 1470, 0, 1e+200, 1e+200, 8.18545e-12, 2.65925e-11, 1e+200, 1e+200, 1e+200, 1e+200, GS, 612, 1092, 0, 1e+200, 1e+200, 8.18545e-12, 2.65925e-11, 1e+200, 1e+200, 1e+200, 1e+200, SRS0.8, 581, 2000, 0.00057413, 5.48585, 34.1431, 8.18545e-12, 2.65925e-11, 57922.8, 8711.39, 8711.39, 0.00148946, SRS1.2, 145, 626, 0, 1e+200, 1e+200, 8.18545e-12, 2.65925e-11, 1e+200, 1e+200, 1e+200, 1e+200
100, 1, 200, 289, 975, 0, 1e+200, 1e+200, 1.18234e-11, 2.61808e-11, 1e+200, 1e+200, 1e+200, 1e+200, GS, 178, 629, 0, 1e+200, 1e+200, 1.18234e-11, 2.61808e-11, 1e+200, 1e+200, 1e+200, 1e+200, SRS0.8, 552, 1978, 0, 1e+200, 1e+200, 1.18234e-11, 2.61808e-11, 1e+200, 1e+200, 1e+200, 1e+200, SRS1.2, 128, 452, 0, 1e+200, 1e+200, 1.18234e-11, 2.61808e-11, 1e+200, 1e+200, 1e+200, 1e+200
3, 3, 18, 1, 295, 9.86464e-06, 0.0375623, 0.0695144, 2.32831e-10, 4.65661e-10, 0.320875, 0.119069, 0.119069, 1.40166e-14, GS, 0, 147, 9.66064e-06, 0.0255165, 0.0497072, 2.32831e-10, 4.65661e-10, 0.318635, 0.12519, 0.12519, 6.7446e-15, SRS0.8, 0, 210, 9.87607e-06, 0.0340437, 0.0744835, 2.32831e-10, 4.65661e-10, 0.499845, 0.193414, 0.193414, 8.77076e-15, SRS1.2, 0, 102, 9.25781e-06, 0.0200921, 0.0337317, 2.32831e-10, 4.65661e-10, 0.195385, 0.0785806, 0.0785806, 5.2458e-15
5, 5, 50, 17, 942, 9.91152e-06, 0.0547063, 0.145319, 1.45519e-10, 2.41755e-10, 2.21895, 0.496467, 0.496467, 8.71525e-15, GS, 10, 468, 9.90153e-06, 0.0281779, 0.105231, 1.45519e-10, 2.41755e-10, 2.2619, 0.517049, 0.517049, 1.60233e-13, SRS0.8, 15, 660, 9.95426e-06, 0.0408757, 0.156561, 1.45519e-10, 2.41755e-10, 3.42881, 0.777282, 0.777282, 2.01283e-13, SRS1.2, 6, 330, 9.81297e-06, 0.0233604, 0.0719417, 1.45519e-10, 2.41755e-10, 1.48011, 0.342614, 0.342614, 1.32339e-13
9, 9, 162, 365, 2000, 6.59189e-05, 0.382481, 2.01977, 7.27596e-11, 2.24967e-10, 116.659, 14.2817, 14.2817, 7.46938e-11, GS, 504, 1540, 9.99299e-06, 0.0300206, 0.222287, 7.27596e-11, 2.24967e-10, 18.3233, 2.27305, 2.27305, 5.81421e-12, SRS0.8, 783, 2000, 1.36077e-05, 0.0605735, 0.449402, 7.27596e-11, 2.24967e-10, 37.3431, 4.61338, 4.61338, 9.83993e-12, SRS1.2, 441, 1104, 9.98955e-06, 0.0251401, 0.150849, 7.27596e-11, 2.24967e-10, 12.1971, 1.52249, 1.52249, 4.86503e-12
10, 10, 200, 1194, 2000, 0.000111435, 0.641834, 3.79818, 4.36557e-11, 1.39577e-10, 278.847, 30.6736, 30.6736, 2.35233e-10, GS, 810, 1883, 9.98209e-06, 0.0302459, 0.251996, 4.36557e-11, 1.39577e-10, 26.3381, 2.93104, 2.93104, 1.10277e-11, SRS0.8, 581, 2000, 2.92444e-05, 0.130374, 1.08648, 4.36557e-11, 1.39577e-10, 114.354, 12.6796, 12.6796, 3.97732e-11, SRS1.2, 385, 1355, 9.96529e-06, 0.025295, 0.1705, 4.36557e-11, 1.39577e-10, 17.5225, 1.96069, 1.96069, 9.21688e-12
15, 15, 450, 4555, 2000, 0.000271979, 1.35014, 12.4297, 2.18279e-11, 1.05877e-10, 2279.06, 166.122, 166.122, 5.59398e-09, GS, 3752, 2000, 8.09693e-05, 0.237572, 3.07815, 2.18279e-11, 1.05877e-10, 796.221, 58.4468, 58.4468, 9.85686e-10, SRS0.8, 3531, 2000, 0.000117828, 0.476551, 6.167, 2.18279e-11, 1.05877e-10, 1602.01, 117.331, 117.331, 1.6489e-09, SRS1.2, 3690, 2000, 4.05136e-05, 0.103918, 1.08906, 2.18279e-11, 1.05877e-10, 278.82, 20.5362, 20.5362, 4.32937e-10
20, 20, 800, 13108, 2000, 0.00028391, 1.18415, 14.9035, 1.27329e-11, 8.36142e-11, 5290.69, 288.058, 288.058, 2.73189e-08, GS, 13076, 2000, 0.000136423, 0.354599, 6.24022, 1.27329e-11, 8.36142e-11, 3051.97, 166.994, 166.994, 8.26014e-09, SRS0.8, 13918, 2000, 0.000147281, 0.509915, 8.96404, 1.27329e-11, 8.36142e-11, 4397.54, 240.232, 240.232, 9.89596e-09, SRS1.2, 12869, 2000, 0.000107029, 0.254476, 3.63423, 1.27329e-11, 8.36142e-11, 1764.33, 96.771, 96.771, 5.98719e-09
25, 25, 1250, 32965, 2000, 0.00024167, 0.87974, 14.1413, 1.27329e-11, 9.31244e-11, 8533.28, 370.577, 370.577, 7.5637e-08, GS, 35734, 2000, 0.000150437, 0.343214, 7.63832, 1.27329e-11, 9.31244e-11, 6105.57, 266.151, 266.151, 3.04885e-08, SRS0.8, 32079, 2000, 0.000141159, 0.427895, 9.5141, 1.27329e-11, 9.31244e-11, 7623.08, 331.89, 331.89, 3.16271e-08, SRS1.2, 31084, 2000, 0.000143313, 0.30337, 5.50663, 1.27329e-11, 9.31244e-11, 4376.28, 191.124, 191.124, 2.74157e-08
30, 30, 1800, 59258, 2000, 0.000190629, 0.632372, 12.4052, 8.18545e-12, 6.82606e-11, 11804.8, 426.301, 426.301, 1.5587e-07, GS, 62450, 2000, 0.000143912, 0.294026, 7.91612, 8.18545e-12, 6.82606e-11, 9437.5, 341.775, 341.775, 7.79782e-08, SRS0.8, 59738, 2000, 0.000124193, 0.340875, 9.16307, 8.18545e-12, 6.82606e-11, 10945.4, 395.995, 395.995, 7.50656e-08, SRS1.2, 59119, 2000, 0.000152961, 0.288107, 6.36804, 8.18545e-12, 6.82606e-11, 7556.03, 274.051, 274.051, 7.84497e-08
35, 35, 2450, 103259, 2000, 0.00014523, 0.459365, 10.6129, 8.18545e-12, 7.37813e-11, 15069.2, 466.048, 466.048, 2.73724e-07, GS, 106573, 2000, 0.000130005, 0.243541, 7.69313, 8.18545e-12, 7.37813e-11, 12846.6, 397.82, 397.82, 1.62855e-07, SRS0.8, 107694, 2000, 0.000105977, 0.272516, 8.53585, 8.18545e-12, 7.37813e-11, 14276.8, 441.849, 441.849, 1.50834e-07, SRS1.2, 107135, 2000, 0.000148462, 0.252118, 6.59301, 8.18545e-12, 7.37813e-11, 10965.5, 339.993, 339.993, 1.75122e-07
40, 40, 3200, 171973, 2000, 0.000108905, 0.349981, 9.10916, 5.00222e-12, 5.52551e-11, 18327.1, 496.456, 496.456, 4.50767e-07, GS, 181741, 2000, 0.0001146, 0.201354, 7.28087, 5.00222e-12, 5.52551e-11, 16267.5, 439.966, 439.966, 2.99998e-07, SRS0.8, 184005, 2000, 8.94234e-05, 0.22498, 7.86849, 5.00222e-12, 5.52551e-11, 17600.7, 476.186, 476.186, 2.76168e-07, SRS1.2, 182892, 2000, 0.000137775, 0.214203, 6.492, 5.00222e-12, 5.52551e-11, 14454.9, 391.327, 391.327, 3.36345e-07
45, 45, 4050, 277047, 2000, 8.53743e-05, 0.287421, 7.99074, 5.00222e-12, 6.43351e-11, 21585, 521.324, 521.324, 7.32503e-07, GS, 290832, 2000, 9.99699e-05, 0.169041, 6.81806, 5.00222e-12, 6.43351e-11, 19682.5, 472.589, 472.589, 5.10588e-07, SRS0.8, 292908, 2000, 7.5254e-05, 0.195119, 7.2475, 5.00222e-12, 6.43351e-11, 20918.7, 503.321, 503.321, 4.8245e-07, SRS1.2, 290557, 2000, 0.000125052, 0.180553, 6.24138, 5.00222e-12, 6.43351e-11, 17964.6, 431.551, 431.551, 5.84956e-07
50, 50, 5000, 419483, 2000, 7.28413e-05, 0.25368, 7.22182, 5.45697e-12, 6.64787e-11, 24849.4, 542.723, 542.723, 1.18104e-06, GS, 446980, 2000, 8.68022e-05, 0.145926, 6.36429, 5.45697e-12, 6.64787e-11, 23090, 498.744, 498.744, 8.29433e-07, SRS0.8, 452474, 2000, 6.59868e-05, 0.178093, 6.70786, 5.45697e-12, 6.64787e-11, 24236, 525.905, 525.905, 8.21589e-07, SRS1.2, 445100, 2000, 0.000112262, 0.152687, 5.93219, 5.45697e-12, 6.64787e-11, 21472.9, 463.607, 463.607, 9.5051e-07
60, 60, 7200, 875066, 2000, 6.24347e-05, 0.226236, 6.42462, 4.54747e-12, 7.03519e-11, 31414.5, 579.016, 579.016, 2.82144e-06, GS, 924867, 2000, 6.73597e-05, 0.120717, 5.57414, 4.54747e-12, 7.03519e-11, 29895.2, 539.244, 539.244, 2.04924e-06, SRS0.8, 925622, 2000, 5.86951e-05, 0.165127, 5.92449, 4.54747e-12, 7.03519e-11, 30887.7, 563.018, 563.018, 2.22199e-06, SRS1.2, 920163, 2000, 8.92668e-05, 0.113718, 5.29641, 4.54747e-12, 7.03519e-11, 28468.4, 511.506, 511.506, 2.22546e-06
70, 70, 9800, 1619260, 2000, 5.86784e-05, 0.217862, 6.16176, 5.22959e-12, 8.31942e-11, 38043.6, 609.533, 609.533, 5.67474e-06, GS, 1709142, 2000, 5.98791e-05, 0.111841, 4.99645, 5.22959e-12, 8.31942e-11, 36711.4, 570.904, 570.904, 4.78821e-06, SRS0.8, 1709214, 2000, 5.71945e-05, 0.162827, 5.50931, 5.22959e-12, 8.31942e-11, 37583, 593.712, 593.712, 5.36313e-06, SRS1.2, 1717066, 2000, 1.79706, 3.08233e+199, 1e+200, 5.22959e-12, 8.31942e-11, 1e+200, 4.79227e+198, 4.79227e+198, 2.48974e+195
80, 80, 12800, 2749556, 2000, 4162.46, 7.72822e+125, 1.3664e+126, 5.68434e-12, 1.03585e-10, 1.72825e+125, 1.58984e+125, 1.58984e+125, 1.906e+119, GS, 2911807, 2000, 71.5478, 1.22008e+112, 1.49429e+112, 5.68434e-12, 1.03585e-10, 1.74133e+111, 1.74133e+111, 1.74133e+111, 1.29375e+108, SRS0.8, 2909032, 2000, 5.70444e-05, 0.162786, 5.33817, 5.68434e-12, 1.03585e-10, 44335.4, 620.244, 620.244, 1.15802e-05, SRS1.2, 1490286, 1028, 0, 1e+200, 1e+200, 5.68434e-12, 1.03585e-10, 1e+200, 1e+200, 1e+200, 1e+200
90, 90, 16200, 3730596, 1687, 0, 1e+200, 1e+200, 5.00222e-12, 1.22724e-10, 1e+200, 1e+200, 1e+200, 1e+200, GS, 2645965, 1092, 0, 1e+200, 1e+200, 5.00222e-12, 1.22724e-10, 1e+200, 1e+200, 1e+200, 1e+200, SRS0.8, 4641845, 2000, 5.7107e-05, 0.168427, 5.28617, 5.00222e-12, 1.22724e-10, 51150.1, 643.694, 643.694, 2.28662e-05, SRS1.2, 1434524, 623, 0, 1e+200, 1e+200, 5.00222e-12, 1.22724e-10, 1e+200, 1e+200, 1e+200, 1e+200
