ni, nj, var, dtJac, IterJac, ConvJac, MaxRJac, NormRJac, MaxTrueJac, NormTrueJac, NormDeltaJac, MaxDeltaJac, MaxDeltaOddJac, MaxDeltaEvenJac, GS, dtGS, IterGS, ConvGS, MaxRGS, NormRGS, MaxTrueGS, NormTrueGS, NormDeltaGS, MaxDeltaGS, MaxDeltaOddGS, MaxDeltaEvenGS, SRS08, dtSRS08, IterSRS08, ConvSRS08, MaxRSRS08, NormRSRS08, MaxTrueSRS08, NormTrueSRS08, NormDeltaSRS08, MaxDeltaSRS08, MaxDeltaOddSRS08, MaxDeltaEvenSRS08, SRS12, dtSRS12, IterSRS12, ConvSRS12, MaxRSRS12, NormRSRS12, MaxTrueSRS12, NormTrueSRS12, NormDeltaSRS12, MaxDeltaSRS12, MaxDeltaOddSRS12, MaxDeltaEvenSRS12
3, 3, 18, 1, 295, 9.86464e-06, 0.0375623, 0.0695144, 2.32831e-10, 4.65661e-10, 0.320875, 0.119069, 0.119069, 1.40166e-14, GS, 0, 147, 9.66064e-06, 0.0255165, 0.0497072, 2.32831e-10, 4.65661e-10, 0.318635, 0.12519, 0.12519, 6.7446e-15, SRS0.8, 0, 210, 9.87607e-06, 0.0340437, 0.0744835, 2.32831e-10, 4.65661e-10, 0.499845, 0.193414, 0.193414, 8.77076e-15, SRS1.2, 0, 102, 9.25781e-06, 0.0200921, 0.0337317, 2.32831e-10, 4.65661e-10, 0.195385, 0.0785806, 0.0785806, 5.2458e-15
5, 5, 50, 17, 942, 9.91152e-06, 0.0547063, 0.145319, 1.45519e-10, 2.41755e-10, 2.21895, 0.496467, 0.496467, 8.71525e-15, GS, 10, 468, 9.90153e-06, 0.0281779, 0.105231, 1.45519e-10, 2.41755e-10, 2.2619, 0.517049, 0.517049, 1.60233e-13, SRS0.8, 15, 660, 9.95426e-06, 0.0408757, 0.156561, 1.45519e-10, 2.41755e-10, 3.42881, 0.777282, 0.777282, 2.01283e-13, SRS1.2, 6, 330, 9.81297e-06, 0.0233604, 0.0719417, 1.45519e-10, 2.41755e-10, 1.48011, 0.342614, 0.342614, 1.32339e-13
9, 9, 162, 365, 2000, 6.59189e-05, 0.382481, 2.01977, 7.27596e-11, 2.24967e-10, 116.659, 14.2817, 14.2817, 7.46938e-11, GS, 504, 1540, 9.99299e-06, 0.0300206, 0.222287, 7.27596e-11, 2.24967e-10, 18.3233, 2.27305, 2.27305, 5.81421e-12, SRS0.8, 783, 2000, 1.36077e-05, 0.0605735, 0.449402, 7.27596e-11, 2.24967e-10, 37.3431, 4.61338, 4.61338, 9.83993e-12, SRS1.2, 441, 1104, 9.98955e-06, 0.0251401, 0.150849, 7.27596e-11, 2.24967e-10, 12.1971, 1.52249, 1.52249, 4.86503e-12
10, 10, 200, 1194, 2000, 0.000111435, 0.641834, 3.79818, 4.36557e-11, 1.39577e-10, 278.847, 30.6736, 30.6736, 2.35233e-10, GS, 810, 1883, 9.98209e-06, 0.0302459, 0.251996, 4.36557e-11, 1.39577e-10, 26.3381, 2.93104, 2.93104, 1.10277e-11, SRS0.8, 581, 2000, 2.92444e-05, 0.130374, 1.08648, 4.36557e-11, 1.39577e-10, 114.354, 12.6796, 12.6796, 3.97732e-11, SRS1.2, 385, 1355, 9.96529e-06, 0.025295, 0.1705, 4.36557e-11, 1.39577e-10, 17.5225, 1.96069, 1.96069, 9.21688e-12
15, 15, 450, 4555, 2000, 0.000271979, 1.35014, 12.4297, 2.18279e-11, 1.05877e-10, 2279.06, 166.122, 166.122, 5.59398e-09, GS, 3752, 2000, 8.09693e-05, 0.237572, 3.07815, 2.18279e-11, 1.05877e-10, 796.221, 58.4468, 58.4468, 9.85686e-10, SRS0.8, 3531, 2000, 0.000117828, 0.476551, 6.167, 2.18279e-11, 1.05877e-10, 1602.01, 117.331, 117.331, 1.6489e-09, SRS1.2, 3690, 2000, 4.05136e-05, 0.103918, 1.08906, 2.18279e-11, 1.05877e-10, 278.82, 20.5362, 20.5362, 4.32937e-10
20, 20, 800, 13108, 2000, 0.00028391, 1.18415, 14.9035, 1.27329e-11, 8.36142e-11, 5290.69, 288.058, 288.058, 2.73189e-08, GS, 13076, 2000, 0.000136423, 0.354599, 6.24022, 1.27329e-11, 8.36142e-11, 3051.97, 166.994, 166.994, 8.26014e-09, SRS0.8, 13918, 2000, 0.000147281, 0.509915, 8.96404, 1.27329e-11, 8.36142e-11, 4397.54, 240.232, 240.232, 9.89596e-09, SRS1.2, 12869, 2000, 0.000107029, 0.254476, 3.63423, 1.27329e-11, 8.36142e-11, 1764.33, 96.771, 96.771, 5.98719e-09
25, 25, 1250, 32965, 2000, 0.00024167, 0.87974, 14.1413, 1.27329e-11, 9.31244e-11, 8533.28, 370.577, 370.577, 7.5637e-08, GS, 35734, 2000, 0.000150437, 0.343214, 7.63832, 1.27329e-11, 9.31244e-11, 6105.57, 266.151, 266.151, 3.04885e-08, SRS0.8, 32079, 2000, 0.000141159, 0.427895, 9.5141, 1.27329e-11, 9.31244e-11, 7623.08, 331.89, 331.89, 3.16271e-08, SRS1.2, 31084, 2000, 0.000143313, 0.30337, 5.50663, 1.27329e-11, 9.31244e-11, 4376.28, 191.124, 191.124, 2.74157e-08
30, 30, 1800, 59258, 2000, 0.000190629, 0.632372, 12.4052, 8.18545e-12, 6.82606e-11, 11804.8, 426.301, 426.301, 1.5587e-07, GS, 62450, 2000, 0.000143912, 0.294026, 7.91612, 8.18545e-12, 6.82606e-11, 9437.5, 341.775, 341.775, 7.79782e-08, SRS0.8, 59738, 2000, 0.000124193, 0.340875, 9.16307, 8.18545e-12, 6.82606e-11, 10945.4, 395.995, 395.995, 7.50656e-08, SRS1.2, 59119, 2000, 0.000152961, 0.288107, 6.36804, 8.18545e-12, 6.82606e-11, 7556.03, 274.051, 274.051, 7.84497e-08
35, 35, 2450, 103259, 2000, 0.00014523, 0.459365, 10.6129, 8.18545e-12, 7.37813e-11, 15069.2, 466.048, 466.048, 2.73724e-07, GS, 106573, 2000, 0.000130005, 0.243541, 7.69313, 8.18545e-12, 7.37813e-11, 12846.6, 397.82, 397.82, 1.62855e-07, SRS0.8, 107694, 2000, 0.000105977, 0.272516, 8.53585, 8.18545e-12, 7.37813e-11, 14276.8, 441.849, 441.849, 1.50834e-07, SRS1.2, 107135, 2000, 0.000148462, 0.252118, 6.59301, 8.18545e-12, 7.37813e-11, 10965.5, 339.993, 339.993, 1.75122e-07
40, 40, 3200, 171973, 2000, 0.000108905, 0.349981, 9.10916, 5.00222e-12, 5.52551e-11, 18327.1, 496.456, 496.456, 4.50767e-07, GS, 181741, 2000, 0.0001146, 0.201354, 7.28087, 5.00222e-12, 5.52551e-11, 16267.5, 439.966, 439.966, 2.99998e-07, SRS0.8, 184005, 2000, 8.94234e-05, 0.22498, 7.86849, 5.00222e-12, 5.52551e-11, 17600.7, 476.186, 476.186, 2.76168e-07, SRS1.2, 182892, 2000, 0.000137775, 0.214203, 6.492, 5.00222e-12, 5.52551e-11, 14454.9, 391.327, 391.327, 3.36345e-07
