     Steps	     Evaluations	        ErrorEnd	        ErrorMax
         5	              15	    0.6353202736	    0.6353202736
        10	              30	   0.04925295157	   0.04925295157
        20	              60	  0.004547567178	     0.014694483
        50	             150	 0.0002419253117	   0.00246971162
        80	             240	 5.646543815e-05	 0.0009697434177
       100	             300	 2.848464395e-05	 0.0006213625241
       150	             450	 8.275768219e-06	 0.0002764769085
       200	             600	 3.457441468e-06	 0.0001555798615
       250	             750	 1.759913746e-06	 9.958927039e-05
       500	            1500	 2.174478818e-07	 2.490333993e-05
