     Steps	     Evaluations	        ErrorEnd	        ErrorMax
         5	             105	   0.03795573248	    0.2368882771
        10	             210	  0.002760780476	    0.0614746581
        20	             420	 0.0001837997655	   0.01551655096
        50	            1050	 4.793072922e-06	  0.002489281701
        80	            1680	  7.32967908e-07	 0.0009726741985
       100	            2100	 3.003768232e-07	 0.0006225554474
       150	            3150	 5.936387813e-08	 0.0002767105717
       200	            4200	 1.878649725e-08	 0.0001556534822
       250	            5250	 7.695600583e-09	 9.961934891e-05
       500	           10500	 4.810298802e-10	 2.490521028e-05
