     Steps	     Evaluations	        ErrorEnd	        ErrorMax
         5	              70	   0.05005262303	    0.2406558559
        10	             140	  0.005563259595	   0.06202801232
        20	             280	 0.0005125513045	   0.01556320373
        50	             700	 2.402013666e-05	  0.002490683572
        80	            1120	 5.307246438e-06	 0.0009728964652
       100	            1400	 2.621830654e-06	  0.000622647646
       150	            2100	 7.390613662e-07	 0.0002767290914
       200	            2800	 3.038162082e-07	  0.000155659391
       250	            3500	 1.531032661e-07	 9.962178125e-05
       500	            7000	 1.852517684e-08	 2.490536382e-05
