     Steps	     Evaluations	        ErrorEnd	        ErrorMax
         5	              10	     3.773468607	     3.773468607
        10	              20	    0.2808393036	    0.2808393036
        20	              40	   0.04479729892	   0.04479729892
        50	             100	  0.005699305765	  0.005699305765
        80	             160	  0.002112149393	  0.002112149393
       100	             200	  0.001328817104	  0.001328817104
       150	             300	 0.0005774345041	 0.0005774345041
       200	             400	 0.0003212142335	 0.0003212142335
       250	             500	 0.0002042186784	 0.0002042186784
       500	            1000	 5.038711805e-05	 5.038711805e-05
