               x	               y	           dy/dx	         d2y/dx2	          Int(y)
               1	               2	            0.75	               0	               0
            1.01	      2.00750025	        0.750075	           0.015	   0.02003750063
            1.02	        2.015002	          0.7503	            0.03	      0.04015001
            1.03	      2.02250675	        0.750675	           0.045	   0.06033755063
            1.04	        2.030016	          0.7512	            0.06	      0.08060016
            1.05	      2.03753125	        0.751875	           0.075	    0.1009378906
            1.06	        2.045054	          0.7527	            0.09	      0.12135081
            1.07	      2.05258575	        0.753675	           0.105	    0.1418390006
            1.08	        2.060128	          0.7548	            0.12	      0.16240256
            1.09	      2.06768225	        0.756075	           0.135	    0.1830416006
             1.1	         2.07525	          0.7575	            0.15	      0.20375625
            1.11	      2.08283275	        0.759075	           0.165	    0.2245466506
            1.12	        2.090432	          0.7608	            0.18	      0.24541296
            1.13	      2.09804925	        0.762675	           0.195	    0.2663553506
            1.14	        2.105686	          0.7647	            0.21	      0.28737401
            1.15	      2.11334375	        0.766875	           0.225	    0.3084691406
            1.16	        2.121024	          0.7692	            0.24	      0.32964096
            1.17	      2.12872825	        0.771675	           0.255	    0.3508897006
            1.18	        2.136458	          0.7743	            0.27	      0.37221561
            1.19	      2.14421475	        0.777075	           0.285	    0.3936189506
             1.2	           2.152	            0.78	             0.3	          0.4151
            1.21	      2.15981525	        0.783075	           0.315	    0.4366590506
            1.22	        2.167662	          0.7863	            0.33	      0.45829641
            1.23	      2.17554175	        0.789675	           0.345	    0.4800124006
            1.24	        2.183456	          0.7932	            0.36	      0.50180736
            1.25	      2.19140625	        0.796875	           0.375	    0.5236816406
            1.26	        2.199394	          0.8007	            0.39	      0.54563561
            1.27	      2.20742075	        0.804675	           0.405	    0.5676696506
            1.28	        2.215488	          0.8088	            0.42	      0.58978416
            1.29	      2.22359725	        0.813075	           0.435	    0.6119795506
             1.3	         2.23175	          0.8175	            0.45	      0.63425625
            1.31	      2.23994775	        0.822075	           0.465	    0.6566147006
            1.32	        2.248192	          0.8268	            0.48	      0.67905536
            1.33	      2.25648425	        0.831675	           0.495	    0.7015787006
            1.34	        2.264826	          0.8367	            0.51	      0.72418521
            1.35	      2.27321875	        0.841875	           0.525	    0.7468753906
            1.36	        2.281664	          0.8472	            0.54	      0.76964976
            1.37	      2.29016325	        0.852675	           0.555	    0.7925088506
            1.38	        2.298718	          0.8583	            0.57	      0.81545321
            1.39	      2.30732975	        0.864075	           0.585	    0.8384834006
             1.4	           2.316	            0.87	             0.6	          0.8616
            1.41	      2.32473025	        0.876075	           0.615	    0.8848036006
            1.42	        2.333522	          0.8823	            0.63	      0.90809481
