               x	               y	           dy/dx	         d2y/dx2	          Int(y)
               0	               1	               1	    0.8893649939	               0
           0.015	     1.015100977	     1.013525154	    0.9139889338	   0.01511300373
            0.03	     1.030407601	     1.027419668	    0.9386128736	   0.03045405755
           0.045	     1.045925414	     1.041683541	    0.9632368134	   0.04602628771
            0.06	     1.061659954	     1.056316772	    0.9878607533	    0.0618329036
           0.075	     1.077616764	     1.071319363	     1.012484693	   0.07787719769
            0.09	     1.093801382	     1.086691313	     1.037108633	   0.09416254556
           0.105	      1.11021935	     1.102432622	     1.061732573	    0.1106924059
            0.12	     1.126876208	      1.11854329	     1.086356513	    0.1274703205
           0.135	     1.143777495	     1.135023318	     1.110980452	    0.1444999143
            0.15	     1.160928754	     1.151872704	     1.135604392	    0.1617848952
           0.165	     1.178335523	     1.169091449	     1.160228332	    0.1793290545
            0.18	     1.196003344	     1.186679554	     1.184852272	    0.1971362662
           0.195	     1.213937757	     1.204637018	     1.209476212	    0.2152104877
            0.21	     1.232144302	      1.22296384	     1.234100152	    0.2335557595
           0.225	     1.250628519	     1.241660022	     1.258724091	    0.2521762051
            0.24	     1.269395949	     1.260725563	     1.283348031	    0.2710760312
           0.255	     1.288452132	     1.280160463	     1.307971971	    0.2902595274
            0.27	      1.30780261	     1.299964722	     1.332595911	    0.3097310666
           0.285	     1.327452921	      1.32013834	     1.357219851	    0.3294951048
             0.3	     1.347408607	     1.340681318	     1.381843791	    0.3495561811
           0.315	     1.367675207	     1.361593654	      1.40646773	    0.3699189176
            0.33	     1.388258263	      1.38287535	      1.43109167	    0.3905880196
           0.345	     1.409163315	     1.404526404	      1.45571561	    0.4115682755
            0.36	     1.430395902	     1.426546818	      1.48033955	    0.4328645567
           0.375	     1.451961566	     1.448936591	      1.50496349	    0.4544818179
            0.39	     1.473865847	     1.471695723	      1.52958743	    0.4764250968
           0.405	     1.496114284	     1.494824214	     1.554211369	    0.4986995141
            0.42	      1.51871242	     1.518322064	     1.578835309	    0.5213102738
           0.435	     1.541665793	     1.542189273	     1.603459249	    0.5442626629
            0.45	     1.564979945	     1.566425841	     1.628083189	    0.5675620515
           0.465	     1.588660415	     1.591031769	     1.652707129	    0.5912138928
            0.48	     1.612712745	     1.616007055	     1.677331069	    0.6152237232
           0.495	     1.637142474	     1.641351701	     1.701955008	    0.6395971622
            0.51	     1.661955142	     1.667065705	     1.726578948	    0.6643399121
           0.525	     1.687156291	     1.693149069	     1.751202888	    0.6894577588
            0.54	     1.712751461	     1.719601792	     1.775826828	     0.714956571
           0.555	     1.738746192	     1.746423874	     1.800450768	    0.7408423005
            0.57	     1.765146024	     1.773615315	     1.825074708	    0.7671209823
           0.585	     1.791956498	     1.801176115	     1.849698647	    0.7937987344
             0.6	     1.819183155	     1.829106274	     1.874322587	    0.8208817581
           0.615	     1.846831533	     1.857405793	     1.898946527	    0.8483763377
            0.63	     1.874907175	      1.88607467	     1.923570467	    0.8762888404
           0.645	      1.90341562	     1.915112907	     1.948194407	    0.9046257169
            0.66	     1.932362409	     1.944520502	     1.972818347	    0.9333935008
           0.675	     1.961753082	     1.974297457	     1.997442286	    0.9625988086
            0.69	      1.99159318	     2.004443771	     2.022066226	    0.9922483403
           0.705	     2.021888242	     2.034959444	     2.046690166	     1.022348879
            0.72	      2.05264381	     2.065844476	     2.071314106	      1.05290729
           0.735	     2.083865423	     2.097098867	     2.095938046	     1.083930523
            0.75	     2.115558623	     2.128722617	     2.120561986	     1.115425611
           0.765	     2.147728948	     2.160715727	     2.145185925	     1.147399668
