               x	               y	           dy/dx	         d2y/dx2	          Int(y)	         ylinear
            1.76	        2.734464	          0.7992	            1.84	     1.648561493	            2.76
            1.78	        2.750828	          0.8378	            2.02	     1.703413127	            2.78
             1.8	           2.768	            0.88	             2.2	          1.7586	             2.8
            1.82	        2.786052	          0.9258	            2.38	     1.814138993	            2.82
            1.84	        2.805056	          0.9752	            2.56	     1.870048427	            2.84
            1.86	        2.825084	          1.0282	            2.74	      1.92634806	            2.86
            1.88	        2.846208	          1.0848	            2.92	     1.983059093	            2.88
             1.9	          2.8685	           1.145	             3.1	     2.040204167	             2.9
            1.92	        2.892032	          1.2088	            3.28	      2.09780736	            2.92
            1.94	        2.916876	          1.2762	            3.46	     2.155894193	            2.94
            1.96	        2.943104	          1.3472	            3.64	     2.214491627	            2.96
            1.98	        2.970788	          1.4218	            3.82	      2.27362806	            2.98
               2	               3	             1.5	               4	     2.333333333	               3
            2.02	        3.030788	          1.5782	            3.82	     2.393638607	            3.04
            2.04	        3.063104	          1.6528	            3.64	      2.45457504	            3.08
            2.06	        3.096876	          1.7238	            3.46	     2.516172473	            3.12
            2.08	        3.132032	          1.7912	            3.28	     2.578459307	            3.16
             2.1	          3.1685	           1.855	             3.1	       2.6414625	             3.2
            2.12	        3.206208	          1.9152	            2.92	     2.705207573	            3.24
            2.14	        3.245084	          1.9718	            2.74	     2.769718607	            3.28
            2.16	        3.285056	          2.0248	            2.56	      2.83501824	            3.32
            2.18	        3.326052	          2.0742	            2.38	     2.901127673	            3.36
             2.2	           3.368	            2.12	             2.2	     2.968066667	             3.4
            2.22	        3.410828	          2.1622	            2.02	      3.03585354	            3.44
            2.24	        3.454464	          2.2008	            1.84	     3.104505173	            3.48
            2.26	        3.498836	          2.2358	            1.66	     3.174037007	            3.52
            2.28	        3.543872	          2.2672	            1.48	      3.24446304	            3.56
             2.3	          3.5895	           2.295	             1.3	     3.315795833	             3.6
            2.32	        3.635648	          2.3192	            1.12	     3.388046507	            3.64
            2.34	        3.682244	          2.3398	            0.94	      3.46122474	            3.68
            2.36	        3.729216	          2.3568	            0.76	     3.535338773	            3.72
            2.38	        3.776492	          2.3702	            0.58	     3.610395407	            3.76
             2.4	           3.824	            2.38	             0.4	          3.6864	             3.8
            2.42	        3.871668	          2.3862	            0.22	     3.763356473	            3.84
            2.44	        3.919424	          2.3888	            0.04	     3.841267307	            3.88
            2.46	        3.967196	          2.3878	           -0.14	      3.92013354	            3.92
            2.48	        4.014912	          2.3832	           -0.32	     3.999954773	            3.96
             2.5	          4.0625	           2.375	            -0.5	     4.080729167	               4
            2.52	        4.109888	          2.3632	           -0.68	      4.16245344	            4.04
            2.54	        4.157004	          2.3478	           -0.86	     4.245122873	            4.08
            2.56	        4.203776	          2.3288	           -1.04	     4.328731307	            4.12
            2.58	        4.250132	          2.3062	           -1.22	      4.41327114	            4.16
             2.6	           4.296	            2.28	            -1.4	     4.498733333	             4.2
            2.62	        4.341308	          2.2502	           -1.58	     4.585107407	            4.24
            2.64	        4.385984	          2.2168	           -1.76	      4.67238144	            4.28
            2.66	        4.429956	          2.1798	           -1.94	     4.760542073	            4.32
            2.68	        4.473152	          2.1392	           -2.12	     4.849574507	            4.36
             2.7	          4.5155	           2.095	            -2.3	       4.9394625	             4.4
            2.72	        4.556928	          2.0472	           -2.48	     5.030188373	            4.44
            2.74	        4.597364	          1.9958	           -2.66	     5.121733007	            4.48
            2.76	        4.636736	          1.9408	           -2.84	      5.21407584	            4.52
            2.78	        4.674972	          1.8822	           -3.02	     5.307194873	            4.56
             2.8	           4.712	            1.82	            -3.2	     5.401066667	             4.6
            2.82	        4.747748	          1.7542	           -3.38	      5.49566634	            4.64
            2.84	        4.782144	          1.6848	           -3.56	     5.590967573	            4.68
            2.86	        4.815116	          1.6118	           -3.74	     5.686942607	            4.72
            2.88	        4.846592	          1.5352	           -3.92	      5.78356224	            4.76
             2.9	          4.8765	           1.455	            -4.1	     5.880795833	             4.8
            2.92	        4.904768	          1.3712	           -4.28	     5.978611307	            4.84
            2.94	        4.931324	          1.2838	           -4.46	      6.07697514	            4.88
            2.96	        4.956096	          1.1928	           -4.64	     6.175852373	            4.92
            2.98	        4.979012	          1.0982	           -4.82	     6.275206607	            4.96
               3	               5	               1	              -5	           6.375	               5
            3.02	        5.018988	          0.8982	           -5.18	     6.475193273	            5.04
            3.04	        5.035904	          0.7928	           -5.36	     6.575745707	            5.08
            3.06	        5.050676	          0.6838	           -5.54	      6.67661514	            5.12
            3.08	        5.063232	          0.5712	           -5.72	     6.777757973	            5.16
             3.1	          5.0735	           0.455	            -5.9	     6.879129167	             5.2
            3.12	        5.081408	          0.3352	           -6.08	      6.98068224	            5.24
            3.14	        5.086884	          0.2118	           -6.26	     7.082369273	            5.28
            3.16	        5.089856	          0.0848	           -6.44	     7.184140907	            5.32
            3.18	        5.090252	         -0.0458	           -6.62	      7.28594634	            5.36
             3.2	           5.088	           -0.18	            -6.8	     7.387733333	             5.4
            3.22	        5.083028	         -0.3178	           -6.98	     7.489448207	            5.44
            3.24	        5.075264	         -0.4592	           -7.16	      7.59103584	            5.48
            3.26	        5.064636	         -0.6042	           -7.34	     7.692439673	            5.52
            3.28	        5.051072	         -0.7528	           -7.52	     7.793601707	            5.56
             3.3	          5.0345	          -0.905	            -7.7	       7.8944625	             5.6
            3.32	        5.014848	         -1.0608	           -7.88	     7.994961173	            5.64
            3.34	        4.992044	         -1.2202	           -8.06	     8.095035407	            5.68
            3.36	        4.966016	         -1.3832	           -8.24	      8.19462144	            5.72
            3.38	        4.936692	         -1.5498	           -8.42	     8.293654073	            5.76
             3.4	           4.904	           -1.72	            -8.6	     8.392066667	             5.8
            3.42	        4.867868	         -1.8938	           -8.78	      8.48979114	            5.84
            3.44	        4.828224	         -2.0712	           -8.96	     8.586757973	            5.88
            3.46	        4.784996	         -2.2522	           -9.14	     8.682896207	            5.92
            3.48	        4.738112	         -2.4368	           -9.32	      8.77813344	            5.96
             3.5	          4.6875	          -2.625	            -9.5	     8.872395833	               6
            3.52	        4.633088	         -2.8168	           -9.68	     8.965608107	            6.04
            3.54	        4.574804	         -3.0122	           -9.86	      9.05769354	            6.08
            3.56	        4.512576	         -3.2112	          -10.04	     9.148573973	            6.12
            3.58	        4.446332	         -3.4138	          -10.22	     9.238169807	            6.16
             3.6	           4.376	           -3.62	           -10.4	          9.3264	             6.2
            3.62	        4.301508	         -3.8298	          -10.58	     9.413182073	            6.24
            3.64	        4.222784	         -4.0432	          -10.76	     9.498432107	            6.28
            3.66	        4.139756	         -4.2602	          -10.94	      9.58206474	            6.32
            3.68	        4.052352	         -4.4808	          -11.12	     9.663993173	            6.36
             3.7	          3.9605	          -4.705	           -11.3	     9.744129167	             6.4
            3.72	        3.864128	         -4.9328	          -11.48	      9.82238304	            6.44
            3.74	        3.763164	         -5.1642	          -11.66	     9.898663673	            6.48
            3.76	        3.657536	         -5.3992	          -11.84	     9.972878507	            6.52
            3.78	        3.547172	         -5.6378	          -12.02	     10.04493354	            6.56
             3.8	           3.432	           -5.88	           -12.2	     10.11473333	             6.6
            3.82	        3.311948	         -6.1258	          -12.38	     10.18218101	            6.64
            3.84	        3.186944	         -6.3752	          -12.56	     10.24717824	            6.68
            3.86	        3.056916	         -6.6282	          -12.74	     10.30962527	            6.72
            3.88	        2.921792	         -6.8848	          -12.92	     10.36942091	            6.76
             3.9	          2.7815	          -7.145	           -13.1	      10.4264625	             6.8
            3.92	        2.635968	         -7.4088	          -13.28	     10.48064597	            6.84
            3.94	        2.485124	         -7.6762	          -13.46	     10.53186581	            6.88
            3.96	        2.328896	         -7.9472	          -13.64	     10.58001504	            6.92
            3.98	        2.167212	         -8.2218	          -13.82	     10.62498527	            6.96
               4	               2	            -8.5	             -14	     10.66666667	               7
