    i	            Time	       Res.Pres.	        Aq.Pres.	        Wat.Flow	      Cumulative	         ExactQw	           Error	        ErrorRel
    0	               0	             230	             250	             400	               0	             400	               0	               0
    1	              20	     236.5797824	     244.6141237	     160.6868255	     5537.194602	     168.5243675	      7.83754203	   0.04650687699
    2	              40	     239.2229932	     242.4505252	      64.5506397	     7761.580159	     71.00115611	     6.450516404	   0.09085086438
    3	              60	     240.2848162	     241.5813708	     25.93109344	     8655.153793	     29.91356231	     3.982468872	    0.1331325514
    4	              80	     240.7113685	     241.2322167	     10.41696271	      9014.11757	     12.60291042	     2.185947706	    0.1734478492
    5	             100	     240.8827219	     241.0919555	     4.184671674	     9158.319444	     5.309743768	     1.125072094	    0.2118882084
    6	             120	     240.9515575	     241.0356102	     1.681054017	     9216.247798	     2.237053025	     0.555999008	    0.2485408266
    7	             140	     240.9792099	     241.0129753	    0.6753080838	     9239.518606	    0.9424948655	    0.2671867817	    0.2834888459
    8	             160	     240.9903184	     241.0038825	    0.2712827805	     9248.866886	    0.3970833777	    0.1258005972	     0.316811542
    9	             180	     240.9947808	     241.0002298	     0.108978922	      9252.62225	    0.1672955627	   0.05831664066	    0.3485845035
   10	             200	     240.9965734	     240.9987624	   0.04377869255	     9254.130844	   0.07048344722	   0.02670475467	     0.378879804
