 LIQ	 GLR	WCUT	 LFG	 WHP	True            	Spline          	eSpline         	Linear          	eLinear         
   2	   1	   1	   1	   1	       372.03369	     356.9984488	     15.03524119	      382.747526	      -10.713836
   3	   1	   1	   1	   1	      373.436986	     377.0153629	     -3.57837692	      375.842914	       -2.405928
   4	   1	   1	   1	   1	      383.461362	     381.5780688	     1.883293162	     386.1027015	      -2.6413395
   5	   1	   1	   1	   1	      398.768417	     399.5496171	   -0.7812000911	      400.530214	       -1.761797
   2	   1	   1	   1	   2	      392.836606	     385.3710606	     7.465545432	     398.5425767	    -5.705970667
   3	   1	   1	   1	   2	       394.44704	     395.9368248	    -1.489784753	     395.9812093	    -1.534169333
   4	   1	   1	   1	   2	      402.270416	     401.3831415	    0.8872745318	     404.4961575	      -2.2257415
   5	   1	   1	   1	   2	      414.545275	     415.2231863	   -0.6779113242	     416.4533695	      -1.9080945
   2	   1	   1	   1	   3	      409.009834	     406.3283403	     2.681493715	      411.651129	       -2.641295
   3	   1	   1	   1	   3	      410.992713	     411.1182368	   -0.1255238418	     412.0675373	    -1.074824333
   4	   1	   1	   1	   3	      418.182944	     417.9020548	    0.2808891758	      420.053461	       -1.870517
   5	   1	   1	   1	   3	      429.114209	     429.6817259	   -0.5675168607	     430.9653775	      -1.8511685
   2	   1	   1	   2	   1	      189.170815	     243.1633105	    -53.99249551	     182.8667133	     6.304101667
   3	   1	   1	   2	   1	      257.131056	     210.2648854	     46.86617058	     235.9375973	     21.19345867
   4	   1	   1	   2	   1	      329.471162	     351.9970527	    -22.52589071	     313.5959695	      15.8751925
   5	   1	   1	   2	   1	      370.060883	     365.4025753	     4.658307655	     365.6413055	       4.4195775
   2	   1	   1	   2	   2	      222.918666	     264.5919327	     -41.6732667	      222.566939	        0.351727
   3	   1	   1	   2	   2	      285.361203	     243.3386561	     42.02254691	     264.6903687	     20.67083433
   4	   1	   1	   2	   2	      348.233774	     369.4039492	    -21.17017519	     334.5974575	      13.6363165
   5	   1	   1	   2	   2	      383.833712	     379.5337901	     4.299921906	       380.36612	        3.467592
   2	   1	   1	   2	   3	      252.498519	     286.4977047	    -33.99918567	     255.5923293	    -3.093810333
   3	   1	   1	   2	   3	       310.92238	     272.2610605	     38.66131946	     290.7955173	     20.12686267
   4	   1	   1	   2	   3	      367.389514	     387.4372969	     -20.0477829	      355.098916	       12.290598
   5	   1	   1	   2	   3	      399.275452	     395.2839126	     3.991539413	     396.4187015	       2.8567505
   2	   1	   1	   3	   1	      153.453972	     205.3627319	    -51.90875986	     144.7478567	     8.706115333
   3	   1	   1	   3	   1	      213.613904	     174.9794816	     38.63442238	      202.109797	       11.504107
   4	   1	   1	   3	   1	      299.421447	     314.2779693	    -14.85652228	     282.9440475	      16.4773995
   5	   1	   1	   3	   1	      352.274191	     348.6327421	     3.641448943	      345.697297	        6.576894
   2	   1	   1	   3	   2	      179.655577	     230.8160585	    -51.16048148	     169.6293357	     10.02624133
   3	   1	   1	   3	   2	      235.636169	     198.9187949	      36.7173741	     224.6521157	     10.98405333
   4	   1	   1	   3	   2	      314.645193	     328.8647729	    -14.21957988	     299.4822405	      15.1629525
   5	   1	   1	   3	   2	      363.328312	     359.9847372	     3.343574786	      357.590204	        5.738108
   2	   1	   1	   3	   3	      206.597793	     256.4109366	     -49.8131436	     196.1284037	     10.46938933
   3	   1	   1	   3	   3	      259.445025	     224.1877415	      35.2572835	     248.5602583	     10.88476667
   4	   1	   1	   3	   3	      332.485189	     346.3837182	    -13.89852924	      318.377017	       14.108172
   5	   1	   1	   3	   3	      377.309009	     374.1588496	     3.150159406	      372.246317	        5.062692
   2	   1	   2	   1	   1	      377.595509	     361.8834492	     15.71205978	      388.734842	      -11.139333
   3	   1	   2	   1	   1	      378.922238	     382.6749697	    -3.752731668	     381.3523387	    -2.430100667
