 LIQ	 GLR	WCUT	 LFG	 WHP	True            	Spline          	eSpline         	Linear          	eLinear         
   2	   1	   1	   1	   1	       372.03369	      379.808893	    -7.775203004	      382.747526	      -10.713836
   3	   1	   1	   1	   1	      373.436986	     357.9054366	     15.53154939	      375.842914	       -2.405928
   4	   1	   1	   1	   1	      383.461362	     389.1415319	    -5.680169912	     386.1027015	      -2.6413395
   5	   1	   1	   1	   1	      398.768417	     397.6925168	     1.075900217	      400.530214	       -1.761797
   2	   1	   1	   1	   2	      392.836606	     396.8789668	    -4.042360801	     398.5425767	    -5.705970667
   3	   1	   1	   1	   2	       394.44704	     386.2958358	     8.151204184	     395.9812093	    -1.534169333
   4	   1	   1	   1	   2	      402.270416	     405.1989209	    -2.928504903	     404.4961575	      -2.2257415
   5	   1	   1	   1	   2	      414.545275	     414.2862762	    0.2589988049	     416.4533695	      -1.9080945
   2	   1	   1	   1	   3	      409.009834	     410.7370868	    -1.727252825	      411.651129	       -2.641295
   3	   1	   1	   1	   3	      410.992713	     407.4247173	     3.567995705	     412.0675373	    -1.074824333
   4	   1	   1	   1	   3	      418.182944	     419.3639024	    -1.180958361	      420.053461	       -1.870517
   5	   1	   1	   1	   3	      429.114209	     429.3227901	   -0.2085810815	     430.9653775	      -1.8511685
   2	   1	   1	   2	   1	      189.170815	     178.6962764	     10.47453862	     182.8667133	     6.304101667
   3	   1	   1	   2	   1	      257.131056	     264.2734905	    -7.142434491	     235.9375973	     21.19345867
   4	   1	   1	   2	   1	      329.471162	     330.6211414	    -1.149979392	     313.5959695	      15.8751925
   5	   1	   1	   2	   1	      370.060883	      370.651125	   -0.5902419992	     365.6413055	       4.4195775
   2	   1	   1	   2	   2	      222.918666	     217.4710672	     5.447598779	      222.566939	        0.351727
   3	   1	   1	   2	   2	      285.361203	     282.8151459	     2.546057135	     264.6903687	     20.67083433
   4	   1	   1	   2	   2	      348.233774	     353.7796622	    -5.545888212	     334.5974575	      13.6363165
   5	   1	   1	   2	   2	      383.833712	     383.3701106	    0.4636014438	       380.36612	        3.467592
   2	   1	   1	   2	   3	      252.498519	     250.0297196	     2.468799423	     255.5923293	    -3.093810333
   3	   1	   1	   2	   3	       310.92238	     302.8128772	     8.109502844	     290.7955173	     20.12686267
   4	   1	   1	   2	   3	      367.389514	     375.3452808	    -7.955766788	      355.098916	       12.290598
   5	   1	   1	   2	   3	      399.275452	     398.2529344	       1.0225176	     396.4187015	       2.8567505
   2	   1	   1	   3	   1	      153.453972	     141.3366966	      12.1172754	     144.7478567	     8.706115333
   3	   1	   1	   3	   1	      213.613904	     228.6186307	    -15.00472666	      202.109797	       11.504107
   4	   1	   1	   3	   1	      299.421447	     293.0482839	     6.373163094	     282.9440475	      16.4773995
   5	   1	   1	   3	   1	      352.274191	      353.845388	     -1.57119702	      345.697297	        6.576894
   2	   1	   1	   3	   2	      179.655577	     166.9525122	     12.70306481	     169.6293357	     10.02624133
   3	   1	   1	   3	   2	      235.636169	     252.4218154	    -16.78564641	     224.6521157	     10.98405333
   4	   1	   1	   3	   2	      314.645193	     307.6889654	     6.956227572	     299.4822405	      15.1629525
   5	   1	   1	   3	   2	      363.328312	     365.1841542	    -1.855842222	      357.590204	        5.738108
   2	   1	   1	   3	   3	      206.597793	     193.8860539	      12.7117391	     196.1284037	     10.46938933
   3	   1	   1	   3	   3	      259.445025	     276.5692686	    -17.12424361	     248.5602583	     10.88476667
   4	   1	   1	   3	   3	      332.485189	     325.6517834	     6.833405552	      318.377017	       14.108172
   5	   1	   1	   3	   3	      377.309009	       379.24928	     -1.94027101	      372.246317	        5.062692
   2	   1	   2	   1	   1	      377.595509	     385.6979809	    -8.102471895	      388.734842	      -11.139333
   3	   1	   2	   1	   1	      378.922238	     362.7238481	     16.19838992	     381.3523387	    -2.430100667
   4	   1	   2	   1	   1	      388.865998	     394.8454363	    -5.979438326	     391.6241325	      -2.7581345
   5	   1	   2	   1	   1	      404.326027	     403.1723082	     1.153718779	      406.124946	       -1.798919
   2	   1	   2	   1	   2	      398.368639	     402.8006437	    -4.432004689	      404.587919	        -6.21928
   3	   1	   2	   1	   2	      399.916905	     390.9841091	     8.932795909	     401.4975183	    -1.580613333
   4	   1	   2	   1	   2	      407.755277	     410.9858731	    -3.230596133	      410.041756	       -2.286479
   5	   1	   2	   1	   2	      420.166607	     419.8419969	    0.3246101336	     422.1179405	      -1.9513335
   2	   1	   2	   1	   3	      414.639924	      416.728515	    -2.088591042	     417.7613323	    -3.121408333
   3	   1	   2	   1	   3	      416.600429	       412.30032	     4.300109005	     417.7100253	    -1.109596333
   4	   1	   2	   1	   3	      423.850228	     425.3262612	     -1.47603317	      425.764923	       -1.914695
   5	   1	   2	   1	   3	      434.929417	     435.0578231	   -0.1284061107	     436.7811695	      -1.8517525
   2	   1	   2	   2	   1	      193.338357	     182.9550176	      10.3833394	     187.0655247	     6.272832333
   3	   1	   2	   2	   1	       260.04853	     267.4762814	     -7.42775135	     239.8240103	     20.22451967
   4	   1	   2	   2	   1	      332.795317	     333.5139691	   -0.7186520894	     317.1781725	      15.6171445
   5	   1	   2	   2	   1	      374.307815	     374.9139469	    -0.606131944	     369.7923095	       4.5155055
   2	   1	   2	   2	   2	      226.833822	     222.0851674	     4.748654577	      227.341764	       -0.507942
   3	   1	   2	   2	   2	      288.230818	     284.6660679	     3.564750142	      268.424395	       19.806423
   4	   1	   2	   2	   2	      351.605541	     357.2531303	    -5.647589265	     338.1687485	      13.4367925
   5	   1	   2	   2	   2	      388.106679	     387.5451712	    0.5615077604	      384.557539	         3.54914
   2	   1	   2	   2	   3	      256.074202	      254.723499	     1.350702956	     260.6105777	    -4.536375667
   3	   1	   2	   2	   3	      313.721507	     303.6540892	     10.06741776	      294.318534	       19.402973
   4	   1	   2	   2	   3	      370.807198	     379.2850084	     -8.47781043	     358.6596035	      12.1475945
   5	   1	   2	   2	   3	        403.5977	     402.3749955	     1.222704518	     400.6388475	       2.9588525
   2	   1	   2	   3	   1	      156.723111	     144.0496011	     12.67350987	     147.2504973	     9.472613667
   3	   1	   2	   3	   1	      216.804722	     232.8605189	    -16.05579687	      205.234278	       11.570444
   4	   1	   2	   3	   1	      302.256612	     295.8346817	     6.421930262	      286.402028	       15.854584
   5	   1	   2	   3	   1	      355.999334	      357.457963	    -1.458628991	      349.396036	        6.603298
   2	   1	   2	   3	   2	      183.269404	      170.012498	     13.25690604	     172.4498213	     10.81958267
   3	   1	   2	   3	   2	       238.75649	     256.7512148	    -17.99472481	     228.0065397	     10.74995033
   4	   1	   2	   3	   2	      317.480811	     310.2564597	     7.224351257	      302.918756	       14.562055
   5	   1	   2	   3	   2	      367.081022	     368.8749677	    -1.793945671	      361.300689	        5.780333
   2	   1	   2	   3	   3	      210.379492	     197.1272976	     13.25219436	      199.113479	       11.266013
   3	   1	   2	   3	   3	      262.387967	     280.8482551	    -18.46028813	     252.0224657	     10.36550133
   4	   1	   2	   3	   3	      335.308413	     327.9842496	     7.324163375	        321.7299	       13.578513
   5	   1	   2	   3	   3	      381.071833	     383.0075285	    -1.935695503	     375.9442975	       5.1275355
   2	   1	   3	   1	   1	      388.027535	     397.0169479	    -8.989412933	      400.328407	      -12.300872
   3	   1	   3	   1	   1	      389.185307	     371.1924695	     17.99283752	     391.7025413	    -2.517234333
   4	   1	   3	   1	   1	      399.052554	     405.7901337	    -6.737579739	      402.041614	        -2.98906
   5	   1	   3	   1	   1	      414.897921	     413.5522078	     1.345713234	      416.776282	       -1.878361
   2	   1	   3	   1	   2	       408.77708	     414.1995073	    -5.422427271	      416.303738	       -7.526658
   3	   1	   3	   1	   2	      410.188252	     399.2652945	     10.92295748	      411.883819	       -1.695567
   4	   1	   3	   1	   2	      418.097297	     422.1023573	    -4.005060303	     420.5294025	      -2.4321055
   5	   1	   3	   1	   2	      430.870553	     430.3687867	    0.5017663031	      432.908903	        -2.03835
   2	   1	   3	   1	   3	      425.259647	      428.264384	     -3.00473698	     429.5975023	    -4.337855333
   3	   1	   3	   1	   3	      427.120559	     420.9945878	     6.125971186	      428.362068	       -1.241509
   4	   1	   3	   1	   3	       434.56691	     436.7032945	    -2.136384499	      436.539073	       -1.972163
   5	   1	   3	   1	   3	      445.957587	     445.9460504	   0.01153656068	     447.8814345	      -1.9238475
   2	   1	   3	   2	   1	      201.395222	     191.3754864	     10.01973563	      195.411497	        5.983725
   3	   1	   3	   2	   1	      265.530903	     273.1439334	    -7.613030372	     247.2063533	     18.32454967
   4	   1	   3	   2	   1	      338.828616	     338.8687729	  -0.04015687061	     323.8315745	      14.9970415
   5	   1	   3	   2	   1	      382.132246	     382.7584754	    -0.626229438	      377.540679	        4.591567
   2	   1	   3	   2	   2	      234.598798	     231.2857859	     3.313012123	     236.8409027	    -2.242104667
   3	   1	   3	   2	   2	        293.5356	     287.9596763	     5.575923656	     275.6405927	     17.89500733
   4	   1	   3	   2	   2	      357.724182	     363.4934156	    -5.769233566	     344.7775315	      12.9466505
   5	   1	   3	   2	   2	      396.019463	     395.2997306	    0.7197324398	     392.3824105	       3.6370525
   2	   1	   3	   2	   3	       263.24615	     264.2194376	   -0.9732876433	      270.737809	       -7.491659
   3	   1	   3	   2	   3	      318.773865	     304.8070309	     13.96683414	      301.169065	         17.6048
   4	   1	   3	   2	   3	      377.014895	     386.3382223	    -9.323327333	     365.1892835	      11.8256115
   5	   1	   3	   2	   3	      411.604702	     410.0674213	     1.537280734	     408.5379845	       3.0667175
   2	   1	   3	   3	   1	      163.083751	     149.4865704	      13.5971806	      152.350018	       10.733733
   3	   1	   3	   3	   1	      223.640576	     241.0422607	    -17.40168472	     211.2452727	     12.39530333
   4	   1	   3	   3	   1	      307.568316	     301.8331566	     5.735159362	     293.3104525	      14.2578635
   5	   1	   3	   3	   1	      362.980329	     364.0156035	    -1.035274519	     356.4521735	       6.5281555
   2	   1	   3	   3	   2	       190.26327	      176.083504	     14.17976596	     178.1250137	     12.13825633
   3	   1	   3	   3	   2	      245.407803	     265.0706166	    -19.66281363	     234.4279427	     10.97986033
   4	   1	   3	   3	   2	      322.757288	     315.7706837	     6.986604295	      309.738512	       13.018776
   5	   1	   3	   3	   2	      374.069221	     375.5527757	    -1.483554712	      368.348654	        5.720567
   2	   1	   3	   3	   3	      217.721307	     203.6154146	     14.10589237	     205.1870537	     12.53425333
   3	   1	   3	   3	   3	      268.762013	     289.0107755	    -20.24876249	     258.6540483	     10.10796467
   4	   1	   3	   3	   3	      340.519531	     333.1153122	     7.404218778	     328.4124365	      12.1070945
   5	   1	   3	   3	   3	       388.06286	     389.7635839	    -1.700723853	     382.9605665	       5.1022935
   2	   1	   4	   1	   1	      397.090102	     407.3950375	    -10.30493555	      411.125357	      -14.035255
   3	   1	   4	   1	   1	      398.060437	     377.4172744	     20.64316262	     400.7196973	    -2.659260333
   4	   1	   4	   1	   1	      407.978888	     415.7619962	    -7.783108224	      411.201159	       -3.222271
   5	   1	   4	   1	   1	      424.341881	     422.7645854	     1.577295624	     426.3691275	      -2.0272465
   2	   1	   4	   1	   2	      417.843836	     424.6658057	    -6.821969722	     427.2235633	    -9.379727333
   3	   1	   4	   1	   2	      419.103172	     405.3632847	     13.73988725	      420.958013	       -1.854841
   4	   1	   4	   1	   2	      427.186367	     432.2872555	    -5.100888473	      429.803441	       -2.617074
   5	   1	   4	   1	   2	       440.50371	     439.7438811	    0.7598288612	     442.6403885	      -2.1366785
   2	   1	   4	   1	   3	      434.546686	     438.8673642	    -4.320678164	     440.6314147	    -6.084728667
   3	   1	   4	   1	   3	      436.278928	     427.5161098	     8.762818218	      437.690694	       -1.411766
   4	   1	   4	   1	   3	       443.97871	     447.1010861	    -3.122376058	     446.0791415	      -2.1004315
   5	   1	   4	   1	   3	      455.879355	     455.6513897	    0.2279653302	      457.911295	        -2.03194
   2	   1	   4	   2	   1	      209.358515	     199.9219966	     9.436518437	      203.915042	        5.443473
   3	   1	   4	   2	   1	       270.77004	     278.0265449	    -7.256504912	     254.1819777	     16.58806233
   4	   1	   4	   2	   1	      343.828903	     343.6903032	    0.1385997585	     329.8747035	      13.9541995
   5	   1	   4	   2	   1	      388.979367	     389.4480677	   -0.4687007404	     384.3593265	       4.6200405
   2	   1	   4	   2	   2	      242.755497	      240.831782	     1.923714959	     246.5825453	    -3.827048333
   3	   1	   4	   2	   2	      298.453786	     291.1129662	     7.340819816	     282.7523773	     15.70140867
   4	   1	   4	   2	   2	      362.746138	     368.5968091	    -5.850671081	     350.6936865	      12.0524515
   5	   1	   4	   2	   2	      402.933587	     402.0066398	    0.9269472375	      399.240021	        3.693566
   2	   1	   4	   2	   3	       270.92783	     274.3296135	    -3.401783514	     281.4097063	    -10.48187633
   3	   1	   4	   2	   3	      323.296969	     305.4806286	     17.81634035	     307.9818287	     15.31514033
   4	   1	   4	   2	   3	      382.089826	     392.1708231	    -10.08099712	     370.9477095	      11.1421165
   5	   1	   4	   2	   3	       418.59845	     416.7144074	     1.884042643	      415.449547	        3.148903
   2	   1	   4	   3	   1	      169.384791	     154.9900877	      14.3947033	      157.575969	       11.808822
   3	   1	   4	   3	   1	      230.900239	     249.1305235	     -18.2302845	      217.134004	       13.766235
   4	   1	   4	   3	   1	       312.63243	     307.9977519	     4.634678127	      300.056136	       12.576294
   5	   1	   4	   3	   1	      369.212033	     369.8452367	   -0.6332037286	      363.064778	        6.147255
   2	   1	   4	   3	   2	      197.183449	     182.2753691	     14.90807985	     183.9993043	     13.18414467
   3	   1	   4	   3	   2	      252.466125	     273.1179134	    -20.65178837	     240.6831303	     11.78299467
   4	   1	   4	   3	   2	      327.682493	     321.4831722	     6.199320839	       316.37806	       11.304433
   5	   1	   4	   3	   2	      380.289995	     381.4188701	    -1.128875126	     374.8981515	       5.3918435
   2	   1	   4	   3	   3	      225.053001	     211.0820736	     13.97092744	     212.5705193	     12.48248167
   3	   1	   4	   3	   3	       275.54425	     295.2698633	    -19.72561331	      265.126046	       10.418204
   4	   1	   4	   3	   3	      345.272136	     339.0327904	     6.239345587	      334.893727	       10.378409
   5	   1	   4	   3	   3	      394.243204	     395.4693943	     -1.22619027	      389.415323	        4.827881
   2	   1	   5	   1	   1	      403.772233	     416.1099093	    -12.33767632	     420.5025947	    -16.73036167
   3	   1	   5	   1	   1	      404.545588	     379.8119809	     24.73360705	     407.4347653	    -2.889177333
   4	   1	   5	   1	   1	       414.75983	     424.1029778	    -9.343147794	      418.232588	       -3.472758
   5	   1	   5	   1	   1	      431.919588	     430.0067613	     1.912826689	     434.1521475	      -2.2325595
   2	   1	   5	   1	   2	      424.533715	     433.4562594	     -8.92254443	     436.7059373	    -12.17222233
