 LIQ	 GLR	WCUT	 LFG	 WHP	True            	Spline          	eSpline         	Linear          	eLinear         
   2	   1	   1	   1	   1	       372.03369	     361.7178511	     10.31583894	      382.747526	      -10.713836
   3	   1	   1	   1	   1	      373.436986	     373.0615851	     0.375400937	      375.842914	       -2.405928
   4	   1	   1	   1	   1	      383.461362	     383.1429233	     0.318438733	     386.1027015	      -2.6413395
   5	   1	   1	   1	   1	      398.768417	     399.1653894	   -0.3969724411	      400.530214	       -1.761797
   2	   1	   1	   1	   2	      392.836606	     387.7520067	     5.084599315	     398.5425767	    -5.705970667
   3	   1	   1	   1	   2	       394.44704	     393.9421374	    0.5049026133	     395.9812093	    -1.534169333
   4	   1	   1	   1	   2	      402.270416	     402.1726131	   0.09780292455	     404.4961575	      -2.2257415
   5	   1	   1	   1	   2	      414.545275	     415.0293428	   -0.4840678492	     416.4533695	      -1.9080945
   2	   1	   1	   1	   3	      409.009834	     407.2404947	     1.769339259	      411.651129	       -2.641295
   3	   1	   1	   1	   3	      410.992713	     410.3540604	    0.6386526162	     412.0675373	    -1.074824333
   4	   1	   1	   1	   3	      418.182944	      418.204506	  -0.02156203879	      420.053461	       -1.870517
   5	   1	   1	   1	   3	      429.114209	     429.6074633	   -0.4932542857	     430.9653775	      -1.8511685
   2	   1	   1	   2	   1	      189.170815	     229.8253035	    -40.65448845	     182.8667133	     6.304101667
   3	   1	   1	   2	   1	      257.131056	     221.4390796	     35.69197643	     235.9375973	     21.19345867
   4	   1	   1	   2	   1	      329.471162	     347.5744504	    -18.10328837	     313.5959695	      15.8751925
   5	   1	   1	   2	   1	      370.060883	     366.4884822	      3.57240083	     365.6413055	       4.4195775
   2	   1	   1	   2	   2	      222.918666	     254.8427881	    -31.92412212	      222.566939	        0.351727
   3	   1	   1	   2	   2	      285.361203	     251.5062057	      33.8549973	     264.6903687	     20.67083433
   4	   1	   1	   2	   2	      348.233774	     366.1713381	    -17.93756409	     334.5974575	      13.6363165
   5	   1	   1	   2	   2	      383.833712	     380.3275116	     3.506200431	       380.36612	        3.467592
   2	   1	   1	   2	   3	      252.498519	     278.9526043	     -26.4540853	     255.5923293	    -3.093810333
   3	   1	   1	   2	   3	       310.92238	      278.582126	     32.34025395	     290.7955173	     20.12686267
   4	   1	   1	   2	   3	      367.389514	     384.9355005	    -17.54598646	      355.098916	       12.290598
   5	   1	   1	   2	   3	      399.275452	      395.898193	     3.377259038	     396.4187015	       2.8567505
   2	   1	   1	   3	   1	      153.453972	     192.1159659	    -38.66199394	     144.7478567	     8.706115333
   3	   1	   1	   3	   1	      213.613904	     186.0772366	     27.53666741	      202.109797	       11.504107
   4	   1	   1	   3	   1	      299.421447	     309.8856206	    -10.46417358	     282.9440475	      16.4773995
   5	   1	   1	   3	   1	      352.274191	     349.7112205	     2.562970468	      345.697297	        6.576894
   2	   1	   1	   3	   2	      179.655577	      217.602911	    -37.94733397	     169.6293357	     10.02624133
   3	   1	   1	   3	   2	      235.636169	     209.9883854	     25.64778365	     224.6521157	     10.98405333
