               x	               y	           dy/dx	         d2y/dx2	          Int(y)	         ylinear
     2048.484848	     332.6385501	   0.06995342268	-6.409960333e-06	     473444.4605	     332.0868266
     2078.787879	     334.7554923	   0.06976755392	-5.857377545e-06	     483556.5057	     334.2314301
     2109.090909	     336.8670559	    0.0695984301	-5.304794758e-06	     493732.6178	     336.3760335
     2139.393939	     338.9737482	   0.06944605121	-4.752211971e-06	     503972.6417	      338.520637
      2169.69697	     341.0760766	   0.06931041725	-4.199629183e-06	     514276.4373	     340.6652405
            2200	     343.1745486	   0.06919152823	-3.647046396e-06	     524643.8801	      342.809844
      2230.30303	     345.2696717	   0.06908938414	-3.094463609e-06	     535074.8609	     344.9544475
     2260.606061	     347.3619532	   0.06900398498	-2.541880822e-06	      545569.286	      347.099051
     2290.909091	     349.4519005	   0.06893533075	-1.989298034e-06	     556127.0769	     349.2436545
     2321.212121	     351.5400212	   0.06888342146	-1.436715247e-06	     566748.1706	     351.3882579
     2351.515152	     353.6268225	    0.0688482571	-8.841324597e-07	     577432.5195	     353.5328614
     2381.818182	     355.7128119	   0.06882983768	-3.315496724e-07	     588180.0911	     355.6774649
            2400	      356.964227	   0.06882682359	               0	     594658.9733	      356.964227
     2442.424242	     359.8843849	   0.06884323362	 7.736159022e-07	     609864.8505	     359.9666719
     2472.727273	     361.9709833	     0.068875049	  1.32619869e-06	     620802.0506	     362.1112754
     2503.030303	     364.0587994	    0.0689236093	 1.878781477e-06	     631802.4982	     364.2558788
     2533.333333	     366.1483409	   0.06898891454	 2.431364264e-06	     642866.2377	     366.4004823
     2563.636364	     368.2401149	   0.06907096471	 2.983947051e-06	     653993.3293	     368.5450858
     2593.939394	     370.3346291	   0.06916975982	 3.536529839e-06	     665183.8481	     370.6896893
     2624.242424	     372.4323907	   0.06928529985	 4.089112626e-06	      676437.885	     372.8342928
     2654.545455	     374.5339073	   0.06941758482	 4.641695413e-06	     687755.5461	     374.9788963
     2684.848485	     376.6396862	   0.06956661473	 5.194278201e-06	     699136.9528	     377.1234998
     2715.151515	     378.7502349	   0.06973238956	 5.746860988e-06	     710582.2419	     379.2681032
     2745.454545	     380.8660608	   0.06991490933	 6.299443775e-06	     722091.5658	     381.4127067
     2775.757576	     382.9876713	   0.07011417403	 6.852026563e-06	     733665.0919	     383.5573102
     2806.060606	     385.1155738	   0.07033018367	  7.40460935e-06	     745303.0033	     385.7019137
     2836.363636	     387.2502758	   0.07056293824	 7.957192137e-06	     757005.4984	     387.8465172
     2866.666667	     389.3922847	   0.07081243774	 8.509774924e-06	     768772.7908	     389.9911207
     2896.969697	     391.5421078	   0.07107868217	 9.062357712e-06	     780605.1097	     392.1357242
     2927.272727	     393.7002527	   0.07136167154	 9.614940499e-06	     792502.6996	     394.2803276
     2957.575758	     395.8672268	   0.07166140584	 1.016752329e-05	     804465.8203	     396.4249311
     2987.878788	     398.0435374	   0.07197788507	 1.072010607e-05	     816494.7471	     398.5695346
     3018.181818	      400.229692	   0.07231110924	 1.127268886e-05	     828589.7705	     400.7141381
     3048.484848	      402.426198	   0.07266107834	 1.182527165e-05	     840751.1966	     402.8587416
     3078.787879	     404.6335628	   0.07302779237	 1.237785444e-05	     852979.3467	     405.0033451
     3109.090909	     406.8522939	   0.07341125133	 1.293043722e-05	     865274.5576	     407.1479485
     3139.393939	     409.0828987	   0.07381145523	 1.348302001e-05	     877637.1814	      409.292552
      3169.69697	     411.3258846	   0.07422840406	  1.40356028e-05	     890067.5856	     411.4371555
            3200	      413.581759	   0.07466209782	 1.458818558e-05	     902566.1531	      413.581759
