 LIQ	 GLR	WCUT	 LFG	 WHP	True            	Spline          	eSpline         	Linear          	eLinear         
   2	   1	   1	   1	   1	       372.03369	     368.7811037	     3.252586286	      382.747526	      -10.713836
   3	   1	   1	   1	   1	      373.436986	     367.3278401	     6.109145903	      375.842914	       -2.405928
   4	   1	   1	   1	   1	      383.461362	     383.7212652	   -0.2599031561	     386.1027015	      -2.6413395
   5	   1	   1	   1	   1	      398.768417	     404.1303587	     -5.36194174	      400.530214	       -1.761797
   2	   1	   1	   1	   2	      392.836606	     391.3098812	     1.526724792	     398.5425767	    -5.705970667
   3	   1	   1	   1	   2	       394.44704	     391.1183787	     3.328661265	     395.9812093	    -1.534169333
   4	   1	   1	   1	   2	      402.270416	     401.8452372	    0.4251788106	     404.4961575	      -2.2257415
   5	   1	   1	   1	   2	      414.545275	     419.4737037	    -4.928428741	     416.4533695	      -1.9080945
   2	   1	   1	   1	   3	      409.009834	     408.5964086	    0.4134254209	      411.651129	       -2.641295
   3	   1	   1	   1	   3	      410.992713	     409.3608268	     1.631886171	     412.0675373	    -1.074824333
   4	   1	   1	   1	   3	      418.182944	     417.2835112	    0.8994328424	      420.053461	       -1.870517
   5	   1	   1	   1	   3	      429.114209	     433.8023117	    -4.688102678	     430.9653775	      -1.8511685
   2	   1	   1	   2	   1	      189.170815	     209.7915668	    -20.62075179	     182.8667133	     6.304101667
   3	   1	   1	   2	   1	      257.131056	     238.5324029	     18.59865313	     235.9375973	     21.19345867
   4	   1	   1	   2	   1	      329.471162	     337.9579179	    -8.486755929	     313.5959695	      15.8751925
   5	   1	   1	   2	   1	      370.060883	     377.4606079	    -7.399724923	     365.6413055	       4.4195775
   2	   1	   1	   2	   2	      222.918666	     240.1949427	    -17.27627666	      222.566939	        0.351727
   3	   1	   1	   2	   2	      285.361203	     264.0572922	     21.30391076	     264.6903687	     20.67083433
   4	   1	   1	   2	   2	      348.233774	     358.6296718	    -10.39589782	     334.5974575	      13.6363165
   5	   1	   1	   2	   2	      383.833712	     389.9532948	    -6.119582828	       380.36612	        3.467592
   2	   1	   1	   2	   3	      252.498519	     267.6129231	    -15.11440409	     255.5923293	    -3.093810333
   3	   1	   1	   2	   3	       310.92238	      288.337423	       22.584957	     290.7955173	     20.12686267
   4	   1	   1	   2	   3	      367.389514	     378.7241829	    -11.33466894	      355.098916	       12.290598
   5	   1	   1	   2	   3	      399.275452	     404.5213984	    -5.245946371	     396.4187015	       2.8567505
   2	   1	   1	   3	   1	      153.453972	     172.2124004	    -18.75842844	     144.7478567	     8.706115333
   3	   1	   1	   3	   1	      213.613904	     203.1390215	     10.47488247	      202.109797	       11.504107
   4	   1	   1	   3	   1	      299.421447	     299.5678017	   -0.1463546682	     282.9440475	      16.4773995
   5	   1	   1	   3	   1	      352.274191	     363.0111831	    -10.73699211	      345.697297	        6.576894
   2	   1	   1	   3	   2	      179.655577	     197.7518708	    -18.09629377	     169.6293357	     10.02624133
   3	   1	   1	   3	   2	      235.636169	     226.9818628	     8.654306175	     224.6521157	     10.98405333
   4	   1	   1	   3	   2	      314.645193	     314.4165751	    0.2286178924	     299.4822405	      15.1629525
   5	   1	   1	   3	   2	      363.328312	     373.6229972	    -10.29468519	      357.590204	        5.738108
   2	   1	   1	   3	   3	      206.597793	     224.0412726	    -17.44347959	     196.1284037	     10.46938933
   3	   1	   1	   3	   3	      259.445025	     251.6444943	     7.800530703	     248.5602583	     10.88476667
   4	   1	   1	   3	   3	      332.485189	     332.4007536	   0.08443535758	      318.377017	       14.108172
   5	   1	   1	   3	   3	      377.309009	     387.0025685	    -9.693559521	      372.246317	        5.062692
   2	   1	   2	   1	   1	      377.595509	     374.1852685	     3.410240545	      388.734842	      -11.139333
   3	   1	   2	   1	   1	      378.922238	      372.554722	     6.367516024	     381.3523387	    -2.430100667
   4	   1	   2	   1	   1	      388.865998	      389.243098	   -0.3770999591	     391.6241325	      -2.7581345
   5	   1	   2	   1	   1	      404.326027	      409.716478	       -5.390451	      406.124946	       -1.798919
   2	   1	   2	   1	   2	      398.368639	     396.6574209	     1.711218115	      404.587919	        -6.21928
   3	   1	   2	   1	   2	      399.916905	     396.2898217	     3.627083273	     401.4975183	    -1.580613333
   4	   1	   2	   1	   2	      407.755277	     407.4209361	    0.3343408606	      410.041756	       -2.286479
   5	   1	   2	   1	   2	      420.166607	     425.1417596	      -4.9751526	     422.1179405	      -1.9513335
   2	   1	   2	   1	   3	      414.639924	     414.0636952	    0.5762287609	     417.7613323	    -3.121408333
   3	   1	   2	   1	   3	      416.600429	     414.6769941	     1.923434935	     417.7100253	    -1.109596333
   4	   1	   2	   1	   3	      423.850228	     423.0581117	    0.7921163394	      425.764923	       -1.914695
   5	   1	   2	   1	   3	      434.929417	     439.6238806	    -4.694463626	     436.7811695	      -1.8517525
   2	   1	   2	   2	   1	      193.338357	     213.5682503	    -20.22989331	     187.0655247	     6.272832333
   3	   1	   2	   2	   1	       260.04853	     242.1461758	     17.90235419	     239.8240103	     20.22451967
   4	   1	   2	   2	   1	      332.795317	     340.6224472	    -7.827130171	     317.1781725	      15.6171445
   5	   1	   2	   2	   1	      374.307815	      381.977715	    -7.669899983	     369.7923095	       4.5155055
   2	   1	   2	   2	   2	      226.833822	     243.5099303	     -16.6761083	      227.341764	       -0.507942
