 LIQ	 GLR	WCUT	 LFG	 WHP	True            	Spline          	eSpline         	Linear          	eLinear         
   2	   1	   1	   1	   1	       372.03369	     367.2238203	     4.809869654	      382.747526	      -10.713836
   3	   1	   1	   1	   1	      373.436986	     368.4488442	      4.98814177	      375.842914	       -2.405928
   4	   1	   1	   1	   1	      383.461362	     384.9685868	    -1.507224768	     386.1027015	      -2.6413395
   5	   1	   1	   1	   1	      398.768417	     398.7171238	   0.05129315052	      400.530214	       -1.761797
   2	   1	   1	   1	   2	      392.836606	     390.5297772	     2.306828845	     398.5425767	    -5.705970667
   3	   1	   1	   1	   2	       394.44704	     391.6150021	     2.832037874	     395.9812093	    -1.534169333
   4	   1	   1	   1	   2	      402.270416	     403.0936633	   -0.8232472839	     404.4961575	      -2.2257415
   5	   1	   1	   1	   2	      414.545275	     414.8031921	   -0.2579171284	     416.4533695	      -1.9080945
   2	   1	   1	   1	   3	      409.009834	     408.3046749	    0.7051590596	      411.651129	       -2.641295
   3	   1	   1	   1	   3	      410.992713	     409.4625212	     1.530191817	     412.0675373	    -1.074824333
   4	   1	   1	   1	   3	      418.182944	     418.5573658	   -0.3744217891	      420.053461	       -1.870517
   5	   1	   1	   1	   3	      429.114209	     429.5208236	   -0.4066146148	     430.9653775	      -1.8511685
   2	   1	   1	   2	   1	      189.170815	     214.2642952	    -25.09348021	     182.8667133	     6.304101667
   3	   1	   1	   2	   1	      257.131056	     234.4756394	     22.65541658	     235.9375973	     21.19345867
   4	   1	   1	   2	   1	      329.471162	     342.4147476	    -12.94358564	     313.5959695	      15.8751925
   5	   1	   1	   2	   1	      370.060883	     367.7553735	     2.305509534	     365.6413055	       4.4195775
   2	   1	   1	   2	   2	      222.918666	     243.4687861	    -20.55012011	      222.566939	        0.351727
   3	   1	   1	   2	   2	      285.361203	     261.0350136	     24.32618943	     264.6903687	     20.67083433
   4	   1	   1	   2	   2	      348.233774	     362.3999585	    -14.16618447	     334.5974575	      13.6363165
   5	   1	   1	   2	   2	      383.833712	       381.25352	     2.580192044	       380.36612	        3.467592
   2	   1	   1	   2	   3	      252.498519	     270.1499872	    -17.65146821	     255.5923293	    -3.093810333
   3	   1	   1	   2	   3	       310.92238	     285.9567025	     24.96567753	     290.7955173	     20.12686267
   4	   1	   1	   2	   3	      367.389514	      382.016738	    -14.62722395	      355.098916	       12.290598
   5	   1	   1	   2	   3	      399.275452	     396.6148534	       2.6605986	     396.4187015	       2.8567505
   2	   1	   1	   3	   1	      153.453972	     176.6614057	    -23.20743371	     144.7478567	     8.706115333
   3	   1	   1	   3	   1	      213.613904	     199.0246174	     14.58928661	      202.109797	       11.504107
   4	   1	   1	   3	   1	      299.421447	     304.7612138	    -5.339766768	     282.9440475	      16.4773995
   5	   1	   1	   3	   1	      352.274191	     350.9694454	      1.30474558	      345.697297	        6.576894
   2	   1	   1	   3	   2	      179.655577	     202.1875722	    -22.53199521	     169.6293357	     10.02624133
   3	   1	   1	   3	   2	      235.636169	     222.9029075	     12.73326145	     224.6521157	     10.98405333
   4	   1	   1	   3	   2	      314.645193	     319.3721695	     -4.72697654	     299.4822405	      15.1629525
   5	   1	   1	   3	   2	      363.328312	     362.3155104	     1.012801645	      357.590204	        5.738108
   2	   1	   1	   3	   3	      206.597793	     228.3825409	    -21.78474791	     196.1284037	     10.46938933
   3	   1	   1	   3	   3	      259.445025	     247.6691157	     11.77590928	     248.5602583	     10.88476667
   4	   1	   1	   3	   3	      332.485189	     337.0900923	    -4.604903297	      318.377017	       14.108172
   5	   1	   1	   3	   3	      377.309009	     376.4407667	    0.8682423229	      372.246317	        5.062692
   2	   1	   2	   1	   1	      377.595509	     372.5589289	     5.036580065	      388.734842	      -11.139333
   3	   1	   2	   1	   1	      378.922238	     373.7313634	     5.190874559	     381.3523387	    -2.430100667
   4	   1	   2	   1	   1	      388.865998	     390.4888033	    -1.622805308	     391.6241325	      -2.7581345
   5	   1	   2	   1	   1	      404.326027	     404.2420172	   0.08400977865	      406.124946	       -1.798919
   2	   1	   2	   1	   2	      398.368639	     395.7955117	     2.573127292	      404.587919	        -6.21928
   3	   1	   2	   1	   2	      399.916905	     396.8528048	       3.0641002	     401.4975183	    -1.580613333
   4	   1	   2	   1	   2	      407.755277	     408.6631188	   -0.9078418442	      410.041756	       -2.286479
