 LIQ	 GLR	WCUT	 LFG	 WHP	True            	Spline          	eSpline         	Linear          	eLinear         
   5	   1	   2	   3	   1	      355.999334	     368.6490671	    -12.64973314	      349.396036	        6.603298
   2	   1	   2	   3	   2	      183.269404	     178.9823413	     4.287062715	     172.4498213	     10.81958267
   3	   1	   2	   3	   2	       238.75649	      249.607515	    -10.85102501	     228.0065397	     10.74995033
   4	   1	   2	   3	   2	      317.480811	     309.6678762	     7.812934755	      302.918756	       14.562055
   5	   1	   2	   3	   2	      367.081022	     379.3360143	    -12.25499233	      361.300689	        5.780333
   2	   1	   2	   3	   3	      210.379492	     205.8802974	      4.49919457	      199.113479	       11.266013
   3	   1	   2	   3	   3	      262.387967	     273.8615355	    -11.47356849	     252.0224657	     10.36550133
   4	   1	   2	   3	   3	      335.308413	     327.5608379	     7.747575079	        321.7299	       13.578513
   5	   1	   2	   3	   3	      381.071833	     392.7415457	    -11.66971267	     375.9442975	       5.1275355
   2	   1	   3	   1	   1	      388.027535	     393.3417164	    -5.314181351	      400.328407	      -12.300872
   3	   1	   3	   1	   1	      389.185307	     374.4626374	     14.72266957	     391.7025413	    -2.517234333
   4	   1	   3	   1	   1	      399.052554	      402.735567	    -3.683013036	      402.041614	        -2.98906
   5	   1	   3	   1	   1	      414.897921	     419.6184045	    -4.720483531	      416.776282	       -1.878361
   2	   1	   3	   1	   2	       408.77708	     412.0185508	    -3.241470807	      416.303738	       -7.526658
   3	   1	   3	   1	   2	      410.188252	     401.2567626	     8.931489429	      411.883819	       -1.695567
   4	   1	   3	   1	   2	      418.097297	     419.8010263	    -1.703729338	     420.5294025	      -2.4321055
   5	   1	   3	   1	   2	      430.870553	      435.503644	    -4.633090974	      432.908903	        -2.03835
   2	   1	   3	   1	   3	      425.259647	      427.110006	    -1.850358951	     429.5975023	    -4.337855333
   3	   1	   3	   1	   3	      427.120559	     422.1103016	     5.010257358	      428.362068	       -1.241509
   4	   1	   3	   1	   3	       434.56691	     434.8932968	   -0.3263867515	      436.539073	       -1.972163
   5	   1	   3	   1	   3	      445.957587	     450.5231976	     -4.56561065	     447.8814345	      -1.9238475
   2	   1	   3	   2	   1	      201.395222	     199.7489217	     1.646300282	      195.411497	        5.983725
   3	   1	   3	   2	   1	      265.530903	      266.461667	   -0.9307639856	     247.2063533	     18.32454967
   4	   1	   3	   2	   1	      338.828616	     338.4494923	    0.3791237015	     323.8315745	      14.9970415
   5	   1	   3	   2	   1	      382.132246	     392.1150851	    -9.982839096	      377.540679	        4.591567
   2	   1	   3	   2	   2	      234.598798	     236.6037776	    -2.004979598	     236.8409027	    -2.242104667
   3	   1	   3	   2	   2	        293.5356	     283.8069461	     9.728653859	     275.6405927	     17.89500733
   4	   1	   3	   2	   2	      357.724182	     362.3512974	    -4.627115414	     344.7775315	      12.9466505
   5	   1	   3	   2	   2	      396.019463	     403.9932705	    -7.973807473	     392.3824105	       3.6370525
   2	   1	   3	   2	   3	       263.24615	     267.5786603	    -4.332510344	      270.737809	       -7.491659
   3	   1	   3	   2	   3	      318.773865	     302.2702875	     16.50357745	      301.169065	         17.6048
   4	   1	   3	   2	   3	      377.014895	     384.7868379	    -7.771942889	     365.1892835	      11.8256115
   5	   1	   3	   2	   3	      411.604702	     418.1658621	    -6.561160085	     408.5379845	       3.0667175
   2	   1	   3	   3	   1	      163.083751	     158.9453415	      4.13840954	      152.350018	       10.733733
   3	   1	   3	   3	   1	      223.640576	      233.531044	    -9.890468044	     211.2452727	     12.39530333
   4	   1	   3	   3	   1	      307.568316	     301.0024388	      6.56587722	     293.3104525	      14.2578635
   5	   1	   3	   3	   1	      362.980329	     375.7066677	    -12.72633871	     356.4521735	       6.5281555
   2	   1	   3	   3	   2	       190.26327	     185.4216693	     4.841600701	     178.1250137	     12.13825633
   3	   1	   3	   3	   2	      245.407803	     257.6362064	    -12.22840341	     234.4279427	     10.97986033
   4	   1	   3	   3	   2	      322.757288	     315.1327122	      7.62457577	      309.738512	       13.018776
   5	   1	   3	   3	   2	      374.069221	     386.5225948	    -12.45337378	      368.348654	        5.720567
   2	   1	   3	   3	   3	      217.721307	     212.6572553	     5.064051689	     205.1870537	     12.53425333
   3	   1	   3	   3	   3	      268.762013	     281.7999239	    -13.03791094	     258.6540483	     10.10796467
   4	   1	   3	   3	   3	      340.519531	     332.6162389	     7.903292059	     328.4124365	      12.1070945
   5	   1	   3	   3	   3	       388.06286	      400.012591	    -11.94973103	     382.9605665	       5.1022935
   2	   1	   4	   1	   1	      397.090102	     403.1673559	    -6.077253919	      411.125357	      -14.035255
   3	   1	   4	   1	   1	      398.060437	     381.1582209	     16.90221609	     400.7196973	    -2.659260333
   4	   1	   4	   1	   1	      407.978888	     412.4478784	      -4.4689904	      411.201159	       -3.222271
   5	   1	   4	   1	   1	      424.341881	     429.1156512	    -4.773770246	     426.3691275	      -2.0272465
   2	   1	   4	   1	   2	      417.843836	      421.899661	    -4.055824963	     427.2235633	    -9.379727333
   3	   1	   4	   1	   2	      419.103172	     407.8522305	      11.2509415	      420.958013	       -1.854841
   4	   1	   4	   1	   2	      427.186367	     429.7225101	    -2.536143094	      429.803441	       -2.617074
   5	   1	   4	   1	   2	       440.50371	     445.1443098	    -4.640599803	     442.6403885	      -2.1366785
   2	   1	   4	   1	   3	      434.546686	      437.162791	    -2.616105003	     440.6314147	    -6.084728667
   3	   1	   4	   1	   3	      436.278928	     429.0998428	     7.179085242	      437.690694	       -1.411766
   4	   1	   4	   1	   3	       443.97871	     445.0406435	    -1.061933489	     446.0791415	      -2.1004315
   5	   1	   4	   1	   3	      455.879355	     460.4869666	    -4.607611612	      457.911295	        -2.03194
   2	   1	   4	   2	   1	      209.358515	     207.8491935	     1.509321461	      203.915042	        5.443473
   3	   1	   4	   2	   1	       270.77004	     271.7355796	   -0.9655396013	     254.1819777	     16.58806233
   4	   1	   4	   2	   1	      343.828903	     342.9554181	    0.8734849106	     329.8747035	      13.9541995
   5	   1	   4	   2	   1	      388.979367	     399.3675965	    -10.38822954	     384.3593265	       4.6200405
   2	   1	   4	   2	   2	      242.755497	     245.3301022	    -2.574605237	     246.5825453	    -3.827048333
   3	   1	   4	   2	   2	      298.453786	     287.6642837	     10.78950231	     282.7523773	     15.70140867
   4	   1	   4	   2	   2	      362.746138	     367.0162702	     -4.27013225	     350.6936865	      12.0524515
   5	   1	   4	   2	   2	      402.933587	     411.2903402	     -8.35675318	      399.240021	        3.693566
   2	   1	   4	   2	   3	       270.92783	     276.4458492	    -5.518019203	     281.4097063	    -10.48187633
   3	   1	   4	   2	   3	      323.296969	     304.0023336	      19.2946354	     307.9818287	     15.31514033
   4	   1	   4	   2	   3	      382.089826	     390.0429684	    -7.953142435	     370.9477095	      11.1421165
   5	   1	   4	   2	   3	       418.59845	     425.4302074	    -6.831757362	      415.449547	        3.148903
   2	   1	   4	   3	   1	      169.384791	     164.8754847	     4.509306292	      157.575969	       11.808822
   3	   1	   4	   3	   1	      230.900239	     241.2807081	    -10.38046905	      217.134004	       13.766235
   4	   1	   4	   3	   1	       312.63243	     307.1277869	     5.504643115	      300.056136	       12.576294
   5	   1	   4	   3	   1	      369.212033	     382.0691987	    -12.85716567	      363.064778	        6.147255
   2	   1	   4	   3	   2	      197.183449	      191.947192	     5.236256989	     183.9993043	     13.18414467
   3	   1	   4	   3	   2	      252.466125	      265.423021	    -12.95689596	     240.6831303	     11.78299467
   4	   1	   4	   3	   2	      327.682493	     320.7729145	     6.909578515	       316.37806	       11.304433
   5	   1	   4	   3	   2	      380.289995	     392.9361064	    -12.64611144	     374.8981515	       5.3918435
   2	   1	   4	   3	   3	      225.053001	     220.0501122	     5.002888818	     212.5705193	     12.48248167
   3	   1	   4	   3	   3	       275.54425	     288.1401171	    -12.59586706	      265.126046	       10.418204
   4	   1	   4	   3	   3	      345.272136	     338.3241204	     6.948015627	      334.893727	       10.378409
   5	   1	   4	   3	   3	      394.243204	     406.3059197	    -12.06271568	      389.415323	        4.827881
   2	   1	   5	   1	   1	      403.772233	     411.0334608	    -7.261227799	     420.5025947	    -16.73036167
   3	   1	   5	   1	   1	      404.545588	     384.2757745	     20.26981345	     407.4347653	    -2.889177333
   4	   1	   5	   1	   1	       414.75983	     420.3943421	    -5.634512148	      418.232588	       -3.472758
   5	   1	   5	   1	   1	      431.919588	     436.7821463	    -4.862558303	     434.1521475	      -2.2325595
   2	   1	   5	   1	   2	      424.533715	     429.8156289	     -5.28191393	     436.7059373	    -12.17222233
   3	   1	   5	   1	   2	       425.63691	     410.9047623	      14.7321477	     427.7306687	    -2.093758667
   4	   1	   5	   1	   2	      434.124576	     437.8429091	    -3.718333121	      436.940727	       -2.816151
   5	   1	   5	   1	   2	      448.244544	     452.9742042	    -4.729660163	     450.5799795	      -2.3354355
   2	   1	   5	   1	   3	      441.449719	     445.2418804	    -3.792161362	     450.2117423	    -8.762023333
   3	   1	   5	   1	   3	      443.052873	     432.5305803	      10.5222927	     444.6899427	    -1.637069667
   4	   1	   5	   1	   3	       451.17039	     453.3888659	    -2.218475921	      453.479505	       -2.309115
   5	   1	   5	   1	   3	      463.906137	     468.5791964	    -4.673059444	     466.0996455	      -2.1935085
   2	   1	   5	   2	   1	      217.398002	     216.2130701	      1.18493187	      212.829133	        4.568869
   3	   1	   5	   2	   1	      276.190755	     276.4423755	   -0.2516205307	      260.824365	        15.36639
   4	   1	   5	   2	   1	      347.677091	      347.009146	    0.6679449561	     335.2949255	      12.3821655
   5	   1	   5	   2	   1	      394.399096	     405.1378143	    -10.73871833	      390.039484	        4.359612
   2	   1	   5	   2	   2	      251.331289	     254.5945714	     -3.26328237	      256.954739	        -5.62345
   3	   1	   5	   2	   2	      303.529361	     291.1886926	     12.34066839	     289.7283473	     13.80101367
   4	   1	   5	   2	   2	      366.522464	     370.9608379	    -4.438373853	     355.9578255	      10.5646385
   5	   1	   5	   2	   2	       408.38629	     417.0984966	    -8.712206628	      404.905031	        3.481259
   2	   1	   5	   2	   3	      279.814545	     286.5276838	    -6.713138788	     293.2951583	    -13.48061333
   3	   1	   5	   2	   3	      328.133401	     305.9543704	     22.17903065	     315.1394693	     12.99393167
   4	   1	   5	   2	   3	      385.789318	     394.2231201	    -8.433802077	     376.0965445	       9.6927735
   5	   1	   5	   2	   3	      424.059688	     431.1558808	    -7.096192816	     421.0784265	       2.9812615
   2	   1	   5	   3	   1	      175.655494	     170.8064006	     4.849093394	     162.7825087	     12.87298533
   3	   1	   5	   3	   1	      238.723938	     249.4008525	    -10.67691454	     223.1250553	     15.59888267
   4	   1	   5	   3	   1	      318.064178	     313.7103959	     4.353782059	     306.8787565	      11.1854215
   5	   1	   5	   3	   1	      375.033575	     388.0951479	    -13.06157292	      369.522616	        5.510959
   2	   1	   5	   3	   2	      204.159848	      198.940983	     5.218864959	     190.7713533	     13.38849467
   3	   1	   5	   3	   2	      260.379772	      272.718005	    -12.33823301	     247.1395317	     13.24024033
   4	   1	   5	   3	   2	      333.098899	     327.4770755	      5.62182347	      323.189644	        9.909255
   5	   1	   5	   3	   2	      385.999516	     398.8769712	    -12.87745523	      381.332007	        4.667509
   2	   1	   5	   3	   3	      232.547802	     228.0581489	     4.489653103	     221.0605453	     11.48725667
   3	   1	   5	   3	   3	      283.187906	     293.9080811	    -10.72017512	     271.8711057	     11.31680033
   4	   1	   5	   3	   3	      350.517713	     345.0377522	     5.479960833	      341.493673	         9.02404
   5	   1	   5	   3	   3	       399.79944	     412.0861906	    -12.28675058	     395.7208575	       4.0785825
   2	   1	   6	   1	   1	      405.978193	     415.4048531	    -9.426660145	     427.6310677	    -21.65287467
   3	   1	   6	   1	   1	      406.582057	     380.1453216	     26.43673535	     409.8266597	    -3.244602667
   4	   1	   6	   1	   1	      417.523593	     425.2908623	    -7.767269303	      421.314611	       -3.791018
   5	   1	   6	   1	   1	      436.047165	     441.0169134	    -4.969748401	      438.600039	       -2.552874
   2	   1	   6	   1	   2	      426.620905	     434.1069617	    -7.486056715	     443.8024967	    -17.18159167
   3	   1	   6	   1	   2	      427.603876	     406.5921554	     21.01172064	     430.0517783	    -2.447902333
   4	   1	   6	   1	   2	      436.913525	     442.8209713	    -5.907446339	      440.036228	       -3.122703
   5	   1	   6	   1	   2	       452.46858	     457.2694385	    -4.800858475	     455.0804845	      -2.6119045
   2	   1	   6	   1	   3	      443.640594	     449.5883467	    -5.947752738	      457.300021	      -13.659427
   3	   1	   6	   1	   3	      445.154167	     428.4863155	     16.66785151	      447.129508	       -1.975341
   4	   1	   6	   1	   3	      454.107336	     458.4829821	    -4.375646053	     456.7296735	      -2.6223375
   5	   1	   6	   1	   3	       468.30518	     473.0411286	    -4.735948612	      470.752761	       -2.447581
   2	   1	   6	   2	   1	      225.414497	     224.8401747	    0.5743222567	     222.3663887	     3.048108333
   3	   1	   6	   2	   1	      281.991656	      280.748649	     1.243006999	     267.7257633	     14.26589267
   4	   1	   6	   2	   1	      352.348296	     351.8285658	    0.5197302152	      340.826562	       11.521734
   5	   1	   6	   2	   1	      399.661468	     410.8945169	    -11.23304885	     395.8307715	       3.8306965
   2	   1	   6	   2	   2	      260.256066	     264.4411969	     -4.18513085	      268.250121	       -7.994055
   3	   1	   6	   2	   2	      309.018461	      294.619497	     14.39896395	      297.250815	       11.767646
   4	   1	   6	   2	   2	      371.240313	      375.283364	    -4.043050988	      361.183767	       10.056546
   5	   1	   6	   2	   2	      413.349073	     422.9266418	     -9.57756881	      410.666002	        2.683071
   2	   1	   6	   2	   3	      289.620134	     297.8363866	    -8.216252617	     306.8794193	    -17.25928533
   3	   1	   6	   2	   3	      333.535468	     307.8351654	     25.70030256	     323.2208633	     10.31460467
   4	   1	   6	   2	   3	      390.422322	     398.5748492	    -8.152527198	     381.1192545	       9.3030675
   5	   1	   6	   2	   3	      428.703041	     436.7780942	    -8.075053178	     426.7047155	       1.9983255
   2	   1	   6	   3	   1	      181.496772	     176.9140723	       4.5826997	     168.7586467	     12.73812533
   3	   1	   6	   3	   1	      246.780646	     255.5336828	    -8.753036842	     228.6175953	     18.16305067
   4	   1	   6	   3	   1	      322.859242	     322.2956157	    0.5636263303	      314.831961	        8.027281
   5	   1	   6	   3	   1	      382.883276	     394.5912802	    -11.70800424	      376.688118	        6.195158
   2	   1	   6	   3	   2	       210.98742	      206.492198	     4.495221952	     198.7704197	     12.21700033
   3	   1	   6	   3	   2	      269.123123	     278.2229092	    -9.099786216	     253.3954353	     15.72768767
   4	   1	   6	   3	   2	      338.211466	     336.9601162	     1.251349777	     331.5524695	       6.6589965
   5	   1	   6	   3	   2	      393.981816	      405.233612	    -11.25179595	      388.566956	         5.41486
   2	   1	   6	   3	   3	      240.161287	     236.8162676	     3.345019389	     230.8194483	     9.341838667
   3	   1	   6	   3	   3	      292.507961	     298.8437092	    -6.335748243	      278.831663	       13.676298
   4	   1	   6	   3	   3	      356.172415	     355.2791397	    0.8932752773	     350.1317955	       6.0406195
   5	   1	   6	   3	   3	       407.75563	     418.4147493	    -10.65911931	      403.087559	        4.668071
   2	   2	   1	   1	   1	      335.622245	     344.5211256	     -8.89888063	      356.259931	      -20.637686
   3	   2	   1	   1	   1	      337.651225	     313.1412112	     24.51001376	      341.936417	       -4.285192
   4	   2	   1	   1	   1	      354.564761	     360.8791852	    -6.314424174	     357.3854095	      -2.8206485
   5	   2	   1	   1	   1	      377.119594	     382.4220755	     -5.30248154	     378.3724755	      -1.2528815
   2	   2	   1	   1	   2	      362.332618	     368.6723233	    -6.339705255	     377.0046597	    -14.67204167
   3	   2	   1	   1	   2	      363.430809	     345.8763419	      17.5544671	     366.3691777	    -2.938368667
   4	   2	   1	   1	   2	      374.442297	     378.8807063	    -4.438409268	     377.5415865	      -3.0992895
   5	   2	   1	   1	   2	      391.652364	      396.700842	    -5.048478027	     393.6949285	      -2.0425645
   2	   2	   1	   1	   3	      382.576883	     386.8185077	    -4.241624678	     392.4086207	    -9.831737667
   3	   2	   1	   1	   3	      383.938302	     372.2210122	     11.71728981	     386.0212477	    -2.082945667
   4	   2	   1	   1	   3	      392.909977	     395.4517035	    -2.541726483	     395.5973675	      -2.6873905
   5	   2	   1	   1	   3	      407.256433	     412.1777194	    -4.921286431	     409.4088695	      -2.1524365
   2	   2	   1	   2	   1	      181.400934	     178.6931651	     2.707768891	     173.3015297	     8.099404333
   3	   2	   1	   2	   1	      241.327727	     245.8382872	    -4.510560239	     225.0396073	     16.28811967
   4	   2	   1	   2	   1	      312.316954	     309.8425459	     2.474408077	     298.6670545	      13.6498995
   5	   2	   1	   2	   1	      356.006382	     366.9578673	    -10.95148527	       352.01126	        3.995122
   2	   2	   1	   2	   2	      213.970455	     213.9571483	   0.01330673822	      211.904849	        2.065606
   3	   2	   1	   2	   2	      268.548527	     265.0720365	     3.476490464	      252.472062	       16.076465
   4	   2	   1	   2	   2	      329.475276	     331.1709867	    -1.695710747	     318.1746305	      11.3006455
   5	   2	   1	   2	   2	      367.800734	     376.9375297	     -9.13679574	      364.900436	        2.900298
   2	   2	   1	   2	   3	      243.187532	     244.9670303	    -1.779498301	     245.1275027	    -1.939970667
   3	   2	   1	   2	   3	      294.253562	     285.4561509	     8.797411132	     278.2172353	     16.03632667
   4	   2	   1	   2	   3	      348.276642	      352.737475	    -4.460833026	     338.2532565	      10.0233855
   5	   2	   1	   2	   3	      382.252951	     389.9951479	    -7.742196893	      380.051335	        2.201616
   2	   2	   1	   3	   1	      151.143868	     147.7610954	     3.382772643	      142.275596	        8.868272
   3	   2	   1	   3	   1	      208.772582	     216.8138506	    -8.041268554	     197.5178473	     11.25473467
   4	   2	   1	   3	   1	      290.265806	     283.7845399	     6.481266111	     276.3150595	      13.9507465
   5	   2	   1	   3	   1	      343.857537	      356.746846	    -12.88930904	      338.066438	        5.791099
   2	   2	   1	   3	   2	       176.39184	     172.4473392	     3.944500816	      166.377304	       10.014536
   3	   2	   1	   3	   2	      229.089182	     238.9306946	    -9.841512614	     218.8533053	     10.23587667
   4	   2	   1	   3	   2	      303.776236	      296.658187	     7.118049003	      291.144553	       12.631683
   5	   2	   1	   3	   2	      353.199924	     365.7500789	    -12.55015488	      348.287106	        4.912818
   2	   2	   1	   3	   3	      202.898123	     198.6696497	     4.228473263	      192.296454	       10.601669
   3	   2	   1	   3	   3	      251.797982	     262.5143673	    -10.71638532	     242.0859143	     9.712067667
   4	   2	   1	   3	   3	      320.461497	     313.2262588	     7.235238209	      308.807839	       11.653658
   5	   2	   1	   3	   3	      365.817696	     377.8220082	    -12.00431217	     361.6141745	       4.2035215
   2	   2	   2	   1	   1	      339.750284	     348.9491257	    -9.198841664	     361.0686027	    -21.31831867
   3	   2	   2	   1	   1	      341.641504	     316.2648803	     25.37662369	     345.9982053	    -4.356701333
   4	   2	   2	   1	   1	      358.494048	     365.1709317	    -6.676883705	     361.5513015	      -3.0572535
   5	   2	   2	   1	   1	      381.461099	     386.8004256	    -5.339326598	     382.7711245	      -1.3100255
   2	   2	   2	   1	   2	      366.367681	     373.0849996	    -6.717318564	      381.897465	      -15.529784
   3	   2	   2	   1	   2	      367.368653	     348.7304621	     18.63819087	      370.386433	        -3.01778
   4	   2	   2	   1	   2	      378.423937	     383.2861799	    -4.862242944	     381.7089245	      -3.2849875
   5	   2	   2	   1	   2	      396.049196	       401.11802	    -5.068823971	        398.1374	       -2.088204
   2	   2	   2	   1	   3	      386.638548	     391.2776644	    -4.639116418	     397.3764467	    -10.73789867
   3	   2	   2	   1	   3	      387.911994	     375.0646596	     12.84733443	     390.0882907	    -2.176296667
   4	   2	   2	   1	   3	      396.987776	      399.928873	    -2.941096989	     399.8043185	      -2.8165425
   5	   2	   2	   1	   3	      411.696643	     416.6606305	    -4.963987487	      413.915273	        -2.21863
   2	   2	   2	   2	   1	      185.433747	     182.6564532	     2.777293767	      177.288348	        8.145399
   3	   2	   2	   2	   1	      244.184722	     249.1089437	    -4.924221703	     228.7002677	     15.48445433
   4	   2	   2	   2	   1	      315.233309	     312.3153434	     2.917965556	     301.9481895	      13.2851195
   5	   2	   2	   2	   1	      359.711657	     370.9105228	    -11.19886578	      355.706947	         4.00471
   2	   2	   2	   2	   2	      217.991027	       218.19601	   -0.2049829604	      216.538557	         1.45247
   3	   2	   2	   2	   2	      271.335351	     267.4663133	     3.869037744	      256.132277	       15.203074
   4	   2	   2	   2	   2	      332.414777	     333.9255255	    -1.510748512	      321.433117	        10.98166
   5	   2	   2	   2	   2	      371.530883	     380.8629361	    -9.332053116	     368.6236345	       2.9072485
   2	   2	   2	   2	   3	      246.911702	      249.174871	    -2.263168962	     250.0481783	    -3.136476333
   3	   2	   2	   2	   3	      296.943069	     286.9584546	     9.984614388	      281.680746	       15.262323
   4	   2	   2	   2	   3	      351.218834	     355.8457423	     -4.62690825	     341.4718785	       9.7469555
   5	   2	   2	   2	   3	      386.000688	     393.8451449	    -7.844456906	      383.773478	         2.22721
   2	   2	   2	   3	   1	      154.309002	     150.5852812	     3.723720847	      144.654886	        9.654116
   3	   2	   2	   3	   1	      211.854698	     220.8193295	     -8.96463152	      200.550023	       11.304675
   4	   2	   2	   3	   1	      293.032065	     286.3693295	     6.662735512	      279.595301	       13.436764
   5	   2	   2	   3	   1	      347.335904	     360.4528075	    -13.11690352	     341.6281095	       5.7077945
   2	   2	   2	   3	   2	      179.886723	     175.5961414	     4.290581586	      169.109543	        10.77718
   3	   2	   2	   3	   2	      232.129851	     242.9792904	    -10.84943937	     222.0878883	     10.04196267
