  i	               t	     evaluations	         Qw_appr	         We_appr	         Pr_appr
941	           188.2	            5646	          0.2291	         9213.75	         221.027
942	           188.4	            5652	        0.227114	          9213.8	         221.027
943	           188.6	            5658	        0.225144	         9213.84	         221.027
944	           188.8	            5664	        0.223192	         9213.89	         221.027
945	             189	            5670	        0.221257	         9213.93	         221.027
946	           189.2	            5676	        0.219338	         9213.97	         221.027
947	           189.4	            5682	        0.217436	         9214.02	         221.027
948	           189.6	            5688	        0.215551	         9214.06	         221.027
949	           189.8	            5694	        0.213682	          9214.1	         221.027
950	             190	            5700	        0.211829	         9214.15	         221.027
951	           190.2	            5706	        0.209992	         9214.19	         221.027
952	           190.4	            5712	        0.208171	         9214.23	         221.027
953	           190.6	            5718	        0.206366	         9214.27	         221.027
954	           190.8	            5724	        0.204576	         9214.31	         221.027
955	             191	            5730	        0.202802	         9214.35	         221.027
956	           191.2	            5736	        0.201044	         9214.39	         221.027
957	           191.4	            5742	          0.1993	         9214.43	         221.027
958	           191.6	            5748	        0.197572	         9214.47	         221.027
959	           191.8	            5754	        0.195859	         9214.51	         221.028
960	             192	            5760	         0.19416	         9214.55	         221.028
961	           192.2	            5766	        0.192477	         9214.59	         221.028
962	           192.4	            5772	        0.190808	         9214.63	         221.028
963	           192.6	            5778	        0.189153	         9214.67	         221.028
964	           192.8	            5784	        0.187513	          9214.7	         221.028
965	             193	            5790	        0.185887	         9214.74	         221.028
966	           193.2	            5796	        0.184275	         9214.78	         221.028
967	           193.4	            5802	        0.182677	         9214.82	         221.028
968	           193.6	            5808	        0.181093	         9214.85	         221.028
969	           193.8	            5814	        0.179523	         9214.89	         221.028
970	             194	            5820	        0.177966	         9214.92	         221.028
971	           194.2	            5826	        0.176423	         9214.96	         221.028
972	           194.4	            5832	        0.174893	         9214.99	         221.028
973	           194.6	            5838	        0.173376	         9215.03	         221.028
974	           194.8	            5844	        0.171873	         9215.06	         221.028
975	             195	            5850	        0.170383	          9215.1	         221.028
976	           195.2	            5856	        0.168905	         9215.13	         221.028
977	           195.4	            5862	         0.16744	         9215.17	         221.028
978	           195.6	            5868	        0.165989	          9215.2	         221.028
979	           195.8	            5874	        0.164549	         9215.23	         221.028
980	             196	            5880	        0.163122	         9215.26	         221.028
981	           196.2	            5886	        0.161708	          9215.3	         221.028
982	           196.4	            5892	        0.160306	         9215.33	         221.028
983	           196.6	            5898	        0.158915	         9215.36	         221.029
984	           196.8	            5904	        0.157537	         9215.39	         221.029
985	             197	            5910	        0.156171	         9215.42	         221.029
986	           197.2	            5916	        0.154817	         9215.46	         221.029
987	           197.4	            5922	        0.153475	         9215.49	         221.029
988	           197.6	            5928	        0.152144	         9215.52	         221.029
989	           197.8	            5934	        0.150825	         9215.55	         221.029
990	             198	            5940	        0.149517	         9215.58	         221.029
991	           198.2	            5946	         0.14822	         9215.61	         221.029
992	           198.4	            5952	        0.146935	         9215.64	         221.029
993	           198.6	            5958	        0.145661	         9215.67	         221.029
994	           198.8	            5964	        0.144398	         9215.69	         221.029
995	             199	            5970	        0.143145	         9215.72	         221.029
996	           199.2	            5976	        0.141904	         9215.75	         221.029
997	           199.4	            5982	        0.140674	         9215.78	         221.029
998	           199.6	            5988	        0.139454	         9215.81	         221.029
999	           199.8	            5994	        0.138245	         9215.84	         221.029
1000	             200	            6000	        0.137046	         9215.86	         221.029
