  i	               t	     evaluations	         Qw_appr	         We_appr	         Pr_appr	         Qw_exct	         We_exct	         Pr_exct	          Qw_err	          We_err	          Pr_err
  0	               0	               0	               0	               0	             230	               0	               0	             230	               0	               0	               0
  1	         3.33333	               4	          40.989	         69.9236	         227.883	         40.9892	         69.9202	         227.883	     3.64398e-06	     4.93938e-05	      1.8031e-08
  2	         6.66667	               8	         76.5893	         267.284	         225.911	         76.5895	         267.278	         225.911	     3.38634e-06	     2.24187e-05	     3.16038e-08
  3	              10	              12	         107.513	         575.332	         224.065	         107.514	         575.325	         224.065	     3.14125e-06	      1.3551e-05	     4.15201e-08
  4	         13.3333	              16	         134.379	         979.538	         222.328	          134.38	         979.529	         222.328	     2.90867e-06	      9.2039e-06	     4.84608e-08
  5	         16.6667	              20	         157.725	         1467.29	         220.687	         157.726	         1467.28	         220.687	     2.68849e-06	     6.66043e-06	     5.30008e-08
  6	              20	              24	         178.017	         2027.65	         219.127	         178.018	         2027.64	         219.127	     2.48057e-06	     5.01499e-06	     5.56231e-08
  7	         23.3333	              28	          195.66	         2651.13	         217.638	         195.661	         2651.12	         217.638	     2.28469e-06	     3.87965e-06	     5.67312e-08
  8	         26.6667	              32	         211.006	         3329.51	         216.211	         211.006	          3329.5	         216.211	     2.10062e-06	     3.06054e-06	     5.66603e-08
  9	              30	              36	         216.857	         4055.63	         215.212	         224.441	         4055.62	         214.833	       0.0337908	     2.41309e-06	      0.00176505
 10	         33.3333	              40	         187.557	         4728.47	         216.023	         194.116	         4751.99	         215.672	       0.0337902	      0.00495031	      0.00162674
 11	         36.6667	              44	         162.216	          5310.4	         216.724	         167.889	         5354.28	         216.398	       0.0337896	      0.00819484	      0.00150798
 12	              40	              48	         140.299	         5813.71	          217.33	         145.206	         5875.19	         217.025	        0.033789	       0.0104645	      0.00140591
 13	         43.3333	              52	         121.343	         6249.01	         217.855	         125.587	         6325.72	         217.568	       0.0337885	        0.012126	      0.00131811
 14	         46.6667	              56	         104.949	         6625.51	         218.308	         108.619	         6715.38	         218.037	       0.0337879	       0.0133831	      0.00124252
 15	              50	              60	         90.7689	         6951.13	           218.7	          93.943	         7052.39	         218.443	       0.0337873	       0.0143584	      0.00117741
 16	         53.3333	              64	         78.5051	         7232.76	          219.04	         81.2503	         7343.87	         218.794	       0.0337867	       0.0151297	      0.00112129
 17	         56.6667	              68	         67.8982	         7476.33	         219.333	         70.2725	         7595.96	         219.098	       0.0337861	        0.015749	       0.0010729
 18	              60	              72	         58.7245	            7687	         219.587	         60.7779	            7814	         219.361	       0.0337855	       0.0162524	      0.00103116
 19	         63.3333	              76	         50.7902	          7869.2	         219.806	         52.5661	         8002.57	         219.588	       0.0337849	       0.0166656	     0.000995139
 20	         66.6667	              80	         43.9279	         8026.79	         219.996	         45.4639	         8165.67	         219.784	       0.0337844	       0.0170076	     0.000964045
 21	              70	              84	         37.9928	         8163.09	          220.16	         39.3212	         8306.73	         219.954	       0.0337838	       0.0172926	     0.000937197
 22	         73.3333	              88	         32.8596	         8280.97	         220.302	         34.0085	         8428.73	         220.101	       0.0337832	       0.0175314	      0.00091401
 23	         76.6667	              92	         28.4199	         8382.92	         220.425	         29.4136	         8534.25	         220.228	       0.0337826	       0.0177323	     0.000893981
 24	              80	              96	         24.5801	          8471.1	         220.531	         25.4395	         8625.51	         220.338	        0.033782	       0.0179022	     0.000876678
 25	         83.3333	             100	         21.2591	         8547.36	         220.623	         22.0023	         8704.44	         220.433	       0.0337814	       0.0180462	     0.000861726
 26	         86.6667	             104	         18.3867	         8613.32	         220.703	         19.0296	         8772.71	         220.516	       0.0337808	       0.0181687	     0.000848805
 27	              90	             108	         15.9025	         8670.37	         220.771	         16.4585	         8831.75	         220.587	       0.0337803	       0.0182731	     0.000837638
 28	         93.3333	             112	         13.7539	         8719.71	         220.831	         14.2347	         8882.82	         220.648	       0.0337797	       0.0183623	     0.000827986
 29	         96.6667	             116	         11.8956	         8762.38	         220.882	         12.3115	         8926.98	         220.701	       0.0337791	       0.0184386	     0.000819642
 30	             100	             120	         10.2884	         8799.29	         220.927	         10.6481	         8965.18	         220.747	       0.0337785	       0.0185039	     0.000812429
 31	         103.333	             124	         8.89832	         8831.21	         220.965	         9.20939	         8998.22	         220.787	       0.0337779	         0.01856	     0.000806193
 32	         106.667	             128	         7.69606	         8858.82	         220.998	          7.9651	          9026.8	         220.822	       0.0337773	       0.0186082	     0.000800802
 33	             110	             132	         6.65625	          8882.7	         221.027	         6.88893	         9051.51	         220.851	       0.0337767	       0.0186496	      0.00079614
 34	         113.333	             136	         5.75692	         8903.35	         221.052	         5.95816	         9072.88	         220.877	       0.0337762	       0.0186853	     0.000792109
 35	         116.667	             140	          4.9791	         8921.22	         221.074	         5.15315	         9091.37	         220.899	       0.0337756	        0.018716	     0.000788624
 36	             120	             144	         4.30637	         8936.66	         221.092	          4.4569	         9107.36	         220.919	        0.033775	       0.0187424	      0.00078561
 37	         123.333	             148	         3.72453	         8950.03	         221.108	         3.85473	         9121.19	         220.935	       0.0337744	       0.0187652	     0.000783004
 38	         126.667	             152	         3.22131	         8961.58	         221.122	         3.33391	         9133.15	          220.95	       0.0337738	       0.0187849	     0.000780751
 39	             130	             156	         2.78608	         8971.58	         221.134	         2.88346	         9143.49	         220.962	       0.0337732	       0.0188019	     0.000778802
 40	         133.333	             160	         2.40965	         8980.22	         221.145	         2.49388	         9152.44	         220.973	       0.0337726	       0.0188165	     0.000777116
 41	         136.667	             164	         2.08408	          8987.7	         221.154	         2.15693	         9160.18	         220.982	       0.0337721	       0.0188291	     0.000775659
 42	             140	             168	          1.8025	         8994.16	         221.162	          1.8655	         9166.87	          220.99	       0.0337715	         0.01884	     0.000774398
 43	         143.333	             172	         1.55896	         8999.76	         221.168	         1.61345	         9172.66	         220.997	       0.0337709	       0.0188495	     0.000773308
 44	         146.667	             176	         1.34833	         9004.59	         221.174	         1.39546	         9177.66	         221.003	       0.0337703	       0.0188576	     0.000772366
 45	             150	             180	         1.16616	         9008.78	         221.179	         1.20692	         9181.99	         221.009	       0.0337697	       0.0188646	      0.00077155
 46	         153.333	             184	          1.0086	         9012.39	         221.183	         1.04385	         9185.74	         221.013	       0.0337691	       0.0188707	     0.000770845
 47	         156.667	             188	        0.872326	         9015.52	         221.187	        0.902813	         9188.97	         221.017	       0.0337685	        0.018876	     0.000770235
 48	             160	             192	        0.754466	         9018.23	          221.19	        0.780833	         9191.78	          221.02	        0.033768	       0.0188805	     0.000769708
 49	         163.333	             196	        0.652529	         9020.57	         221.193	        0.675334	          9194.2	         221.023	       0.0337674	       0.0188844	     0.000769252
 50	         166.667	             200	        0.564366	          9022.6	         221.196	        0.584089	         9196.29	         221.026	       0.0337668	       0.0188878	     0.000768858
 51	             170	             204	        0.488114	         9024.35	         221.198	        0.505172	         9198.11	         221.028	       0.0337662	       0.0188908	     0.000768516
 52	         173.333	             208	        0.422165	         9025.86	           221.2	        0.436918	         9199.67	          221.03	       0.0337656	       0.0188933	     0.000768221
 53	         176.667	             212	        0.365126	         9027.17	         221.201	        0.377885	         9201.03	         221.032	        0.033765	       0.0188955	     0.000767966
 54	             180	             216	        0.315794	          9028.3	         221.203	        0.326829	          9202.2	         221.033	       0.0337644	       0.0188974	     0.000767745
 55	         183.333	             220	        0.273127	         9029.28	         221.204	        0.282671	         9203.22	         221.034	       0.0337639	        0.018899	     0.000767555
 56	         186.667	             224	        0.236224	         9030.13	         221.205	        0.244479	         9204.09	         221.035	       0.0337633	       0.0189004	      0.00076739
 57	             190	             228	        0.204308	         9030.86	         221.206	        0.211447	         9204.85	         221.036	       0.0337627	       0.0189017	     0.000767247
 58	         193.333	             232	        0.176704	          9031.5	         221.206	        0.182878	         9205.51	         221.037	       0.0337621	       0.0189027	     0.000767123
 59	         196.667	             236	        0.152829	         9032.05	         221.207	        0.158169	         9206.07	         221.038	       0.0337615	       0.0189036	     0.000767017
