    i	               t	     evaluations	         y_aprox	         y_exact	     exact_error	        Sy_aprox	        Sy_exact	         S_error
    0	               0	               0	             400	             400	               0	               0	               0	             nan
    1	     1.020408163	               3	     382.7427718	     382.7428343	 1.632771125e-07	      399.358557	     399.2938748	 0.0001619914676
    2	     2.040816327	               6	     366.2300734	      366.230193	 3.265541981e-07	      781.360939	     781.3610483	 1.398666834e-07
    3	      3.06122449	               7	     350.4293092	     350.4299552	 1.843472943e-06	     1147.003481	      1146.94473	 5.122368006e-05
    4	     4.081632653	               8	     335.3102786	     335.3113857	 3.301845897e-06	     1496.754677	     1496.756067	 9.289670837e-07
    5	     5.102040816	               9	     320.8435381	     320.8450753	 4.791141064e-06	     1831.527032	     1831.475523	 2.812422143e-05
    6	      6.12244898	              10	     307.0009564	     307.0028838	 6.277868628e-06	     2151.749706	     2151.754207	 2.091435846e-06
    7	     7.142857143	              11	     293.7556035	     293.7578847	 7.765353565e-06	     2458.258155	     2458.215134	  1.75009494e-05
    8	     8.163265306	              12	     281.0817127	     281.0843135	 9.252749631e-06	     2751.445313	     2751.454444	 3.318760604e-06
    9	     9.183673469	              13	     268.9546284	      268.957517	 1.074016316e-05	     3032.076099	     3032.042556	 1.106288127e-05
   10	     10.20408163	              14	     257.3507591	     257.3539059	 1.222757182e-05	     3300.510274	     3300.525279	 4.546242054e-06
   11	      11.2244898	              15	     246.2475311	     246.2509084	 1.371497878e-05	     3557.448177	     3557.424875	 6.550363775e-06
   12	     12.24489796	              16	     235.6233445	     235.6269266	 1.520238346e-05	     3803.219195	     3803.241073	 5.752506489e-06
   13	     13.26530612	              17	     225.4575314	     225.4612943	 1.668978594e-05	      4038.46454	     4038.452045	 3.094091154e-06
   14	     14.28571429	              18	     215.7303156	      215.734237	  1.81771862e-05	     4263.485789	     4263.515329	 6.928628358e-06
   15	     15.30612245	              19	      206.422774	     206.4268333	 1.966458425e-05	     4478.870018	     4478.868728	 2.881286597e-07
   16	     16.32653061	              20	     197.5168002	     197.5209782	 2.115198009e-05	     4684.893344	     4684.931153	 8.070387919e-06
   17	     17.34693878	              21	     188.9950687	     188.9993476	 2.263937372e-05	     4882.093277	     4882.103445	 2.082693561e-06
   18	     18.36734694	              22	     180.8410017	     180.8453649	 2.412676513e-05	     5070.722622	      5070.76915	 9.175688749e-06
   19	      19.3877551	              23	     173.0387365	     173.0431688	 2.561415433e-05	     5251.273509	     5251.295266	 4.143211771e-06
   20	     20.40816327	              24	     165.5730948	     165.5775822	 2.710154132e-05	     5423.977398	     5424.032959	  1.02435231e-05
   21	     21.42857143	              25	     158.4295533	     158.4340828	  2.85889261e-05	     5589.284872	     5589.318245	 5.970968899e-06
   22	     22.44897959	              26	     151.5942152	     151.5987748	 3.007630867e-05	     5747.407848	     5747.472642	 1.127349996e-05
   23	     23.46938776	              27	     145.0537832	     145.0583618	 3.156368902e-05	     5898.758868	     5898.803798	 7.616797307e-06
   24	     24.48979592	              28	     138.7955339	     138.8001214	 3.305106716e-05	     6043.531958	     6043.606086	 1.226560745e-05
   25	     25.51020408	              29	     132.8072925	     132.8118796	 3.453844309e-05	     6182.104828	     6182.161182	 9.115520171e-06
   26	     26.53061224	              30	     127.0774099	     127.0819881	  3.60258168e-05	     6314.655126	     6314.738607	 1.322008326e-05
   27	     27.55102041	              31	     121.5947392	     121.5993008	 3.751318831e-05	     6441.528671	     6441.596256	 1.049189508e-05
   28	     28.57142857	              32	     116.3486147	     116.3531526	  3.90005576e-05	     6562.888113	     6562.980896	 1.413733912e-05
   29	     29.59183673	              33	     111.3288308	     111.3333385	 4.048792467e-05	     6679.050075	     6679.128649	 1.176409663e-05
   30	      30.6122449	              34	     106.5256222	     106.5300938	 4.197528954e-05	     6790.163473	     6790.265449	 1.501791388e-05
   31	     31.63265306	              35	     101.9296448	     101.9340751	 4.346265219e-05	     6896.518201	     6896.607484	  1.29458495e-05
   32	     32.65306122	              36	     97.53195779	     97.53634205	 4.495001264e-05	     6998.250602	     6998.361613	 1.586244282e-05
   33	     33.67346939	              37	     93.32400608	     93.32834001	 4.643737086e-05	     7095.626094	     7095.725773	 1.404778434e-05
   34	     34.69387755	              38	     89.29760367	     89.30188344	 4.792472688e-05	     7188.769509	      7188.88936	 1.667163644e-05
   35	     35.71428571	              39	     85.44491772	     85.44913994	 4.941208069e-05	     7277.923857	     7278.033597	 1.507832757e-05
   36	     36.73469388	              40	     81.75845335	     81.76261502	 5.089943228e-05	      7363.20343	     7363.331893	 1.744626496e-05
   37	     37.75510204	              41	     78.23103904	     78.23513753	 5.238678166e-05	     7444.830722	     7444.950171	 1.604430125e-05
   38	      38.7755102	              42	     74.85581269	      74.8598457	 5.387412882e-05	     7522.910376	     7523.047199	 1.818714662e-05
   39	     39.79591837	              43	     71.62620825	      71.6301738	 5.536147378e-05	     7597.646101	     7597.774894	 1.695133729e-05
   40	     40.81632653	              44	     68.53594294	     68.53983935	 5.684881652e-05	     7669.133706	     7669.278618	 1.889513825e-05
   41	     41.83673469	              45	     65.57900509	     65.58283094	 5.833615705e-05	       7737.5597	     7737.697463	 1.780416927e-05
   42	     42.85714286	              46	     62.74964236	     62.75339649	 5.982349537e-05	     7803.011803	      7803.16452	 1.957112761e-05
   43	     43.87755102	              47	     60.04235061	     60.04603209	 6.131083148e-05	     7865.660779	     7865.807137	 1.860684196e-05
   44	     44.89795918	              48	     57.45186317	     57.45547127	 6.279816537e-05	     7925.586942	     7925.747169	  2.02160268e-05
   45	     45.91836735	              49	      54.9731406	      54.9766748	 6.428549705e-05	     7982.946638	     7983.101213	 1.936286395e-05
   46	     46.93877551	              50	     52.60136087	     52.60482084	 6.577282652e-05	       8037.8134	     8037.980837	 2.083076656e-05
   47	     47.95918367	              51	        50.33191	     50.33529556	 6.726015378e-05	     8090.330375	     8090.492794	 2.007532057e-05
   48	     48.97959184	              52	     48.16037309	     48.16368422	 6.874747882e-05	     8140.564887	     8140.739232	 2.141629124e-05
   49	              50	              53	      46.0825257	     46.08576252	 7.023480165e-05	     8188.647999	     8188.817892	 2.074695843e-05
   50	     51.02040816	              54	     44.09432566	     44.09748842	 7.172212227e-05	     8234.641351	     8234.822299	 2.197355421e-05
