     Steps	     Evaluations	        ErrorEnd	        ErrorMax
         5	              27	    0.1691321276	    0.2198761238
        10	              37	   0.01978902156	   0.06126680605
        20	              57	 0.0007234590605	   0.01551427135
        50	             117	 9.486865814e-06	  0.002489281067
        80	             177	 1.142847139e-06	 0.0009726746426
       100	             217	 4.305097051e-07	  0.000622555647
       150	             317	 7.594308186e-08	 0.0002767106074
       200	             417	 2.271612472e-08	 0.0001556534917
       250	             517	  9.00036014e-09	 9.961935226e-05
       500	            1017	 5.273206239e-10	  2.49052104e-05
