    i	               t	     evaluations	         y_aprox	         y_exact	     exact_error	        Sy_aprox	        Sy_exact	         S_error
    0	               0	               0	             400	             400	               0	               0	               0	             nan
    1	               4	               4	      336.496987	     336.4964867	 1.486608341e-06	     1472.993974	     1469.335366	  0.002489974682
    2	               8	               8	     283.0755556	      283.074714	 2.973218893e-06	     2705.418005	     2705.400837	 6.345554941e-06
    3	              12	              12	     238.1351789	     238.1341168	 4.459831654e-06	     3747.839474	     3745.230058	 0.0006967302411
    4	              16	              16	     200.3294254	     200.3282342	 5.946446626e-06	     4620.012267	     4619.977258	 7.577701896e-06
    5	              20	              20	     168.5256202	     168.5243675	 7.433063807e-06	     5357.722358	     5355.850656	 0.0003494686071
    6	              24	              24	     141.7709085	      141.769644	 8.919683199e-06	     5974.949353	     5974.897689	 8.646766573e-06
    7	              28	              28	     119.2637089	     119.2624678	  1.04063048e-05	     6497.018588	     6495.665568	  0.000208295673
    8	              32	              32	     100.3296967	     100.3285035	 1.189292861e-05	     6933.823274	     6933.756973	 9.562033319e-06
    9	              36	              36	     84.40160164	      84.4004724	 1.337955463e-05	     7303.285871	     7302.297519	 0.0001353480027
   10	              40	              40	     71.00221162	     71.00115611	 1.486618287e-05	     7612.407694	     7612.329017	 1.033546912e-05
   11	              44	              44	      59.7300757	     59.72909896	 1.635281331e-05	     7873.872268	     7873.140291	 9.297146455e-05
   12	              48	              48	     50.24747626	     50.24657989	 1.783944596e-05	     8092.634348	     8092.545485	 1.098087898e-05
   13	              52	              52	     42.27031091	     42.26949401	 1.932608082e-05	     8277.669922	     8277.118177	 6.665912633e-05
   14	              56	              56	     35.55958065	     35.55884057	 2.081271789e-05	     8432.485415	     8432.388333	 1.151303721e-05
   15	              60	              60	     29.91422936	     29.91356231	 2.229935717e-05	     8563.433035	     8563.007988	 4.963762202e-05
   16	              64	              64	     25.16512012	     25.16452156	 2.378599867e-05	      8672.99424	     8672.890626	 1.194688873e-05
   17	              68	              68	     21.16996774	     21.16943274	 2.527264237e-05	     8765.664415	     8765.328429	 3.833125629e-05
   18	              72	              72	      17.8090759	     17.80859935	 2.675928828e-05	     8843.199662	      8843.09092	 1.229688638e-05
   19	              76	              76	     14.98175095	     14.98132779	  2.82459364e-05	     8908.781316	     8908.507932	 3.068797398e-05
   20	              80	              80	     12.60328514	     12.60291042	 2.973258673e-05	     8963.652149	     8963.539419	 1.257649776e-05
   21	              84	              84	     10.60241869	      10.6020877	 3.121923928e-05	     9010.063556	     9009.834174	 2.545913576e-05
   22	              88	              88	     8.919204857	     8.918913156	 3.270589403e-05	     9048.895035	      9048.77923	 1.279788583e-05
   23	              92	              92	     7.503213901	     7.502957356	 3.419255099e-05	     9081.739873	     9081.541416	  2.18527267e-05
   24	              96	              96	     6.312022176	     6.311796976	 3.567921016e-05	     9109.220479	     9109.102318	 1.297174582e-05
   25	             100	             100	      5.30994111	     5.309743768	 3.716587155e-05	     9132.464405	     9132.287684	 1.935125529e-05
   26	             104	             104	     4.466947961	     4.466775309	 3.865253514e-05	     9151.912125	      9151.79217	 1.310726887e-05
   27	             108	             108	     3.757786325	     3.757635496	 4.013920094e-05	     9168.361593	     9168.200147	 1.760937101e-05
   28	             112	             112	      3.16120944	     3.161077857	 4.162586895e-05	     9182.124528	     9182.003214	 1.321219831e-05
   29	             116	             116	     2.659343629	     2.659228983	 4.311253918e-05	     9193.765634	     9193.614923	 1.639310112e-05
   30	             120	             120	     2.237152796	     2.237053025	 4.459921161e-05	     9203.505511	     9203.383171	 1.329294648e-05
   31	             124	             124	     1.881987938	     1.881901209	 4.608588625e-05	     9211.743792	     9211.600623	 1.554222113e-05
   32	             128	             128	     1.583208177	     1.583132863	 4.757256311e-05	     9218.636594	     9218.513483	 1.335474474e-05
   33	             132	             132	     1.331861953	     1.331796616	 4.905924217e-05	     9224.466735	     9224.328866	 1.494617048e-05
   34	             136	             136	     1.120418836	     1.120362206	 5.054592344e-05	     9229.344694	     9229.221006	 1.340180575e-05
   35	             140	             140	    0.9425439059	    0.9424948655	 5.203260693e-05	      9233.47062	     9233.336475	 1.452824563e-05
   36	             144	             144	    0.7929079611	    0.7928655275	 5.351929262e-05	     9236.922697	     9236.798578	 1.343748354e-05
   37	             148	             148	    0.6670278496	    0.6669911611	 5.500598052e-05	     9239.842569	     9239.711041	 1.423502851e-05
   38	             152	             152	     0.561132154	     0.561100456	 5.649267064e-05	     9242.285566	     9242.161126	 1.346442213e-05
   39	             156	             156	    0.4720481978	    0.4720208303	 5.797936296e-05	     9244.351927	     9244.222237	 1.402921733e-05
   40	             160	             160	    0.3971069907	    0.3970833777	 5.946605749e-05	     9246.080809	      9245.95613	 1.348468776e-05
   41	             164	             164	    0.3340632647	    0.3340429038	 6.095275424e-05	     9247.543149	     9247.414751	 1.388471484e-05
   42	             168	             168	     0.281028205	    0.2810106589	 6.243945319e-05	      9248.76666	     9248.641804	 1.349988287e-05
   43	             172	             172	    0.2364128606	    0.2363977486	 6.392615436e-05	     9249.801542	     9249.674051	 1.378323855e-05
   44	             176	             176	    0.1988805382	    0.1988675297	 6.541285773e-05	     9250.667406	      9250.54242	 1.351124183e-05
   45	             180	             180	    0.1673067547	    0.1672955627	 6.689956332e-05	     9251.399781	     9251.272928	 1.371196872e-05
   46	             184	             184	    0.1407455471	    0.1407359227	 6.838627111e-05	     9252.012544	     9251.887461	 1.351970987e-05
   47	             188	             188	    0.1184011313	    0.1183928589	 6.987298112e-05	     9252.530837	     9252.404432	 1.366191035e-05
   48	             192	             192	   0.09960405987	   0.09959695266	 7.135969333e-05	     9252.964483	     9252.839329	   1.3526007e-05
   49	             196	             196	   0.08379116509	   0.08378506165	 7.284640776e-05	     9253.331273	     9253.205182	 1.362674929e-05
   50	             200	             200	   0.07048868647	   0.07048344722	 7.433312439e-05	     9253.638159	     9253.512953	 1.353067906e-05
