    i	               t	     evaluations	         y_aprox	         y_exact	     exact_error	        Sy_aprox	        Sy_exact	         S_error
    0	               0	               0	             400	             400	               0	               0	               0	             nan
    1	     1.047120419	               4	       382.30122	     382.3012193	 1.642757373e-09	     409.5817906	     409.5118999	 0.0001706683036
    2	     2.094240838	               8	      365.385557	     365.3855558	 3.285514588e-09	     800.9041664	     800.9041465	 2.491580314e-08
    3	     3.141361257	              12	     349.2183605	     349.2183587	 4.928271888e-09	     1175.042343	     1174.978479	 5.435317952e-05
    4	     4.188481675	              13	     333.7665368	     333.7665109	 7.753602255e-08	     1532.501212	     1532.501163	 3.187889463e-08
    5	     5.235602094	              14	     318.9984067	     318.9983602	 1.457285461e-07	     1874.262963	     1874.204558	 3.116223712e-05
    6	     6.282722513	              15	     304.8837218	     304.8836552	 2.184235943e-07	     2200.788781	     2200.788619	 7.343018956e-08
    7	     7.329842932	              16	     291.3935671	     291.3934828	   2.8913214e-07	     2512.975843	     2512.922332	  2.12945942e-05
    8	     8.376963351	              17	     278.5003098	     278.5002095	 3.603223277e-07	      2811.24543	     2811.245079	 1.251135648e-07
    9	      9.42408377	              18	      266.177539	     266.1774242	 4.312726312e-07	     3096.417079	     3096.367953	 1.586554807e-05
   10	     10.47120419	              19	     254.4000124	     254.3998846	 5.023069615e-07	     3368.875615	      3368.87501	 1.794716692e-07
   11	     11.51832461	              20	     243.1436046	     243.1434652	 5.733119818e-07	     3629.369655	      3629.32446	 1.245266487e-05
   12	     12.56544503	              21	     232.3852578	      232.385108	 6.443287158e-07	     3878.250724	     3878.249816	 2.341187447e-07
   13	     13.61256545	              22	     222.1029343	     222.1027754	 7.153412711e-07	     4116.202657	     4116.160984	 1.012430085e-05
   14	     14.65968586	              23	     212.2755715	     212.2754046	 7.863553856e-07	     4343.546559	     4343.545308	 2.880499708e-07
   15	     15.70680628	              24	      202.883039	      202.882865	 8.573689205e-07	     4560.907088	     4560.868568	 8.445681101e-06
   16	      16.7539267	              25	     193.9060967	     193.9059167	  9.28382675e-07	     4768.577562	     4768.575937	 3.407753532e-07
   17	     17.80104712	              26	     185.3263562	      185.326171	 9.993963547e-07	     4967.128584	     4967.092888	 7.186623519e-06
   18	     18.84816754	              27	     177.1262425	     177.1260529	  1.07041007e-06	      5156.82809	     5156.826069	 3.920354048e-07
   19	     19.89528796	              28	     169.2889582	      169.288765	 1.141423778e-06	     5338.197305	     5338.164135	 6.213860316e-06
   20	     20.94240838	              29	     161.7984493	     161.7982532	 1.212437496e-06	     5511.480979	     5511.478544	 4.416872642e-07
   21	      21.9895288	              30	     154.6393722	     154.6391737	 1.283451217e-06	     5677.155231	     5677.124319	 5.444890315e-06
