     Steps	     Evaluations	        ErrorEnd	        ErrorMax
         5	               6	     4.535801133	     4.535801133
        10	              11	    0.3118796365	    0.3118796365
        20	              21	   0.07762885536	   0.07762885536
        50	              51	   0.01243070208	   0.01243070208
        80	              81	  0.004856284408	  0.004856284408
       100	             101	  0.003108118742	  0.003108118742
       150	             151	  0.001381437531	  0.001381437531
       200	             201	 0.0007770717277	 0.0007770717277
       250	             251	 0.0004973306784	 0.0004973306784
       500	             501	 0.0001243349123	 0.0001243349123
