    i	               t	     evaluations	         y_aprox	         y_exact	     exact_error	        Sy_aprox	        Sy_exact	         S_error
    0	               0	               0	             400	             400	               0	               0	               0	             nan
    1	     1.111111111	               6	     381.2453774	     381.2453774	 1.156250161e-11	     434.0252097	     433.9418219	 0.0001921633995
    2	     2.222222222	              12	     363.3700945	     363.3700945	 2.312531783e-11	     847.5376312	     847.5376061	 2.952420424e-08
    3	     3.333333333	              18	      346.332922	      346.332922	 3.468776646e-11	     1241.817085	     1241.741308	 6.102441526e-05
    4	     4.444444444	              24	     330.0945639	     330.0945639	 4.625022725e-11	     1617.462204	     1617.462156	 2.951319671e-08
    5	     5.555555556	              25	     314.6175651	     314.6175665	 4.618666851e-09	     1975.635609	     1975.566747	  3.48565891e-05
    6	     6.666666667	              26	     299.8662296	     299.8662322	  8.80872985e-09	     2316.881113	     2316.881047	 2.816609641e-08
    7	     7.777777778	              27	     285.8065333	     285.8065372	 1.357738544e-08	      2642.25487	     2642.192295	 2.368281499e-05
    8	     8.888888889	              28	      272.406048	     272.4060528	 1.787917801e-08	     2952.250894	     2952.250819	 2.557115124e-08
    9	              10	              29	     259.6338652	     259.6338711	 2.241774791e-08	     3247.828624	     3247.771766	 1.750673037e-05
   10	     11.11111111	              30	     247.4605263	     247.4605329	  2.68251241e-08	     3529.436833	     3529.436754	 2.256867771e-08
   11	     12.22222222	              31	     235.8579533	     235.8579607	 3.132232171e-08	       3797.9471	      3797.89544	   1.3602217e-05
   12	     13.33333333	              32	      224.799385	     224.7993931	  3.57669902e-08	     4053.767102	     4053.767023	 1.942884139e-08
   13	     14.44444444	              33	      214.259315	     214.2593236	 4.024258221e-08	     4297.688602	     4297.641668	 1.092070694e-05
   14	     15.55555556	              34	     204.2134326	     204.2134417	 4.469915786e-08	     4530.081945	     4530.081872	 1.626806278e-08
   15	     16.66666667	              35	     194.6385671	     194.6385767	 4.916723545e-08	      4751.66639	     4751.623754	 8.972838041e-06
   16	     17.77777778	              36	     185.5126341	     185.5126441	 5.362842651e-08	     4962.778366	       4962.7783	 1.314435702e-08
   17	     18.88888889	              37	     176.8145847	      176.814595	 5.809378437e-08	     5164.071265	     5164.032537	 7.499507032e-06
   18	              20	              38	      168.524357	     168.5243675	 6.255662333e-08	      5355.85071	     5355.850656	 1.008903044e-08
   19	     21.11111111	              39	     160.6228295	     160.6228402	 6.702098041e-08	     5538.710258	     5538.675084	 6.350681692e-06
   20	     22.22222222	              40	     153.0917774	     153.0917884	 7.148442109e-08	     5712.927544	     5712.927504	 7.119947121e-09
   21	     23.33333333	              41	     145.9138305	     145.9138416	 7.594841471e-08	     5879.041771	     5879.009828	 5.433463308e-06
   22	     24.44444444	              42	     139.0724328	      139.072444	 8.041207497e-08	     6037.305149	     6037.305123	 4.247532794e-09
   23	     25.55555556	              43	     132.5518048	      132.551816	 8.487593653e-08	     6188.207503	     6188.178498	 4.687247132e-06
   24	     26.66666667	              44	     126.3369065	     126.3369178	 8.933967649e-08	     6331.977948	     6331.977939	 1.477802757e-09
   25	     27.77777778	              45	     120.4134035	     120.4134148	 9.380348964e-08	     6469.061454	      6469.03512	 4.070805902e-06
   26	     28.88888889	              46	     114.7676331	     114.7676444	 9.826725848e-08	     6599.666153	     6599.666161	 1.186002634e-09
   27	              30	              47	     109.3865735	     109.3865848	 1.027310547e-07	     6724.196268	     6724.172363	 3.555114099e-06
   28	     31.11111111	              48	     104.2578133	     104.2578245	 1.071948341e-07	     6842.840872	     6842.840898	 3.742471108e-09
   29	     32.22222222	              49	       99.369523	      99.3695341	 1.116586234e-07	      6955.96717	     6955.945473	 3.119141514e-06
   30	     33.33333333	              50	     94.71042783	     94.71043883	 1.161224066e-07	     7063.746921	     7063.746965	 6.191448985e-09
   31	     34.44444444	              51	      90.2697816	     90.26979249	 1.205861933e-07	     7166.513704	     7166.494016	 2.747275155e-06
