     Steps	     Evaluations	        ErrorEnd	        ErrorMax
         5	              14	    0.2132022102	    0.4522605211
        10	              19	    0.3650161861	    0.3650161861
        20	              29	   0.01258698388	   0.01558972518
        50	              59	 0.0002497011656	  0.002489974682
        80	              89	 4.164562933e-05	 0.0009727389719
       100	             109	 1.756386536e-05	 0.0006225765297
       150	             159	 3.607043952e-06	  0.000276713323
       200	             209	 1.163718959e-06	 0.0001556541321
       250	             259	 4.822615923e-07	  9.96195613e-05
       500	             509	 3.085484866e-08	 2.490521688e-05
