     Steps	     Evaluations	        ErrorEnd	        ErrorMax
         5	              25	    0.2270403282	    0.2270403282
        10	              30	    0.1964370346	    0.2361567754
        20	              40	    0.2236861056	    0.2236861056
        50	              70	 3.609965264e-05	  0.002489281067
        80	             100	 3.189982828e-06	 0.0009726746426
       100	             120	 1.035973554e-06	  0.000622555647
       150	             170	  1.25960553e-07	 0.0002767106074
       200	             220	  2.62907318e-08	 0.0001556534917
       250	             270	 7.278549268e-09	 9.961935226e-05
       500	             520	 4.469280293e-12	  2.49052104e-05
