     Steps	     Evaluations	        ErrorEnd	        ErrorMax
         5	              13	     3.439790991	     3.439790991
        10	              23	   0.07381855204	   0.07381855204
        20	              43	  0.006389983822	     0.014694483
        50	             103	 0.0003033129566	   0.00246971162
        80	             163	 6.652128558e-05	 0.0009697434177
       100	             203	 3.270261026e-05	 0.0006213625241
       150	             303	 9.135805093e-06	 0.0002764769085
       200	             403	 3.733913575e-06	 0.0001555798615
       250	             503	 1.874239291e-06	 9.958927039e-05
       500	            1003	 2.247303987e-07	 2.490333993e-05
