     Steps	     Evaluations	        ErrorEnd	        ErrorMax
         5	              11	     11.53830221	     11.53830221
        10	              21	    0.3466430075	    0.3468118617
        20	              41	    0.0412494962	    0.0412494962
        50	             101	  0.003898352205	  0.003898352205
        80	             161	  0.001304213126	  0.001304213126
       100	             201	  0.000790171349	  0.000790171349
       150	             301	 0.0003254864919	 0.0003254864919
       200	             401	 0.0001760173207	 0.0001760173207
       250	             501	 0.0001099684573	 0.0001099684573
       500	            1001	  2.61683245e-05	  2.61683245e-05
